"CN","PLT_CN","PREV_SIT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","CONDID","TREE","SPCD","DIA","HT","AGEDIA","SPGRPCD","SITREE","SIBASE","SUBP","AZIMUTH","DIST","METHOD","SITREE_EST","VALIDCD","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CYCLE","SUBCYCLE","AGECHKCD_RMRS","AGE_DETERMINATION_METHOD_PNWRS","CCLCD_RMRS","DAMAGE_AGENT_CD1_RMRS","DAMAGE_AGENT_CD2_RMRS","DAMAGE_AGENT_CD3_RMRS","SIBASE_AGE_PNWRS","SITETRCD_RMRS","SITE_AGE_TREE_STATUS_PNWRS","SITE_AGE_TREE_TYPE_PNWRS","SITE_TREE_METHOD_PNWRS","SITREE_EQU_NO_PNWRS","TREECLCD_RMRS","TREE_ACT_RMRS","YEAR_AGE_TAKEN","SIEQN_REF_CD","SITREE_FVS","SIBASE_FVS","SIEQN_REF_CD_FVS"
"238982558010854","56569305010478","",1997,13,1,229,28,1,1,111,10.7,86,42,1,88,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982563010854","56571909010478","",1997,13,3,231,6,1,1,812,10.3,56,50,28,55,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982564010854","56571909010478","",1997,13,3,231,6,2,2,131,12.8,78,37,2,84,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982565010854","56571985010478","",1997,13,3,231,3,2,1,131,8.3,55,16,2,90,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982567010854","56572362010478","",1997,13,3,231,10,1,1,131,14.2,70,47,2,70,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982568010854","56572459010478","",1997,13,3,231,17,1,1,131,9.6,70,26,2,87,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"422909478489998","282502526489998","",2015,13,3,159,15,2,2,802,20.4,106,86,25,83,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422909317489998","282502528489998","",2015,13,3,169,27,1,1,131,10.8,79,23,2,104,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422909319489998","282502528489998","",2015,13,3,169,27,1,2,131,10.4,54,15,2,92,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422909318489998","282502528489998","",2015,13,3,169,27,2,1,131,10.8,79,23,2,104,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422909320489998","282502528489998","",2015,13,3,169,27,2,2,131,10.4,54,15,2,92,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422909602489998","282502529489998","",2015,13,3,169,4,1,1,131,6.4,56,17,2,88,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422909730489998","282502530489998","",2015,13,3,169,37,1,1,131,17.6,70,45,2,71,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422909776489998","282502531489998","",2015,13,3,159,33,2,1,131,10.6,69,32,2,78,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422909825489998","282502532489998","",2015,13,3,169,79,1,1,131,21.1,114,67,2,105,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422909826489998","282502532489998","",2015,13,3,169,79,2,2,802,15.5,88,73,25,72,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422909893489998","282502533489998","",2015,13,3,169,25,1,3,802,13,81,65,25,70,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422909891489998","282502533489998","",2015,13,3,169,25,2,1,131,10.5,48,13,2,91,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422909892489998","282502533489998","",2015,13,3,169,25,3,2,131,8,54,17,2,85,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422909957489998","282502534489998","",2015,13,3,169,22,1,1,802,14.4,75,77,25,60,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422909958489998","282502534489998","",2015,13,3,169,22,1,2,833,11.7,83,71,26,69,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422909959489998","282502534489998","",2015,13,3,169,22,2,3,131,11.6,63,37,2,68,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422909960489998","282502534489998","",2015,13,3,169,22,2,4,131,8.2,55,20,2,78,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422910045489998","282502535489998","",2015,13,3,189,12,1,1,131,17.2,110,48,2,109,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422910075489998","282502536489998","",2015,13,1,3,29,1,1,121,7.3,46,15,1,79,50,1,78,13.1,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422910134489998","282502538489998","",2015,13,3,33,30,1,1,621,17,98,46,39,99,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422910135489998","282502538489998","",2015,13,3,33,30,2,1,621,17,98,46,39,99,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422910226489998","282502541489998","",2015,13,2,17,22,1,1,111,10.8,69,21,1,88,50,1,83,22.7,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422910227489998","282502541489998","",2015,13,2,17,22,2,1,111,10.8,69,21,1,88,50,1,83,22.7,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422910301489998","282502542489998","",2015,13,2,155,7,2,1,111,11,95,36,1,101,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422910302489998","282502542489998","",2015,13,2,155,7,2,2,111,11.3,96,36,1,102,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422910323489998","282502543489998","",2015,13,2,155,12,1,1,131,10.2,46,18,2,70,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422910324489998","282502543489998","",2015,13,2,155,12,1,2,131,10.2,57,15,2,97,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422910442489998","282502551489998","",2015,13,2,71,35,1,1,111,15.5,80,53,1,78,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422910480489998","282502554489998","",2015,13,2,27,50,1,1,131,10.8,62,18,2,94,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422910481489998","282502554489998","",2015,13,2,27,50,2,2,131,10.8,62,18,2,94,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422910553489998","282502557489998","",2015,13,2,27,5,1,1,131,11.3,69,17,2,108,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422910625489998","282502558489998","",2015,13,3,33,39,2,1,110,6.1,46,18,2,71,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422910762489998","282502561489998","",2015,13,1,101,50,1,1,111,9.2,58,16,1,85,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422910800489998","282502562489998","",2015,13,4,233,1,1,1,131,14.6,90,63,2,84,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422910801489998","282502562489998","",2015,13,4,233,1,2,1,131,14.6,90,63,2,84,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422910865489998","282502563489998","",2015,13,4,143,8,1,1,110,18.3,94,50,2,92,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422910923489998","282502564489998","",2015,13,4,45,26,2,1,812,14.6,74,48,28,75,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422910960489998","282502565489998","",2015,13,2,19,23,1,1,131,11.1,52,23,2,69,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422910996489998","282502566489998","",2015,13,2,173,19,1,1,111,14.2,73,62,1,68,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422911073489998","282502567489998","",2015,13,2,173,10,1,1,111,8.4,65,25,1,79,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422911074489998","282502567489998","",2015,13,2,173,10,1,2,111,9.6,70,27,1,82,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422911126489998","282502568489998","",2015,13,2,173,17,1,1,111,7,40,13,1,71,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422911206489998","282502570489998","",2015,13,2,19,27,2,1,111,12,70,15,1,101,50,3,304,15.6,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422911384489998","282502573489998","",2015,13,1,101,20,1,1,111,9.2,64,19,1,86,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422911420489998","282502574489998","",2015,13,1,101,23,1,1,111,8.5,63,20,1,84,50,1,4,8.5,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422911492489998","282502575489998","",2015,13,2,185,43,2,1,111,9.5,66,17,1,92,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422911493489998","282502575489998","",2015,13,2,185,43,3,1,111,9.5,66,17,1,92,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422911520489998","282502576489998","",2015,13,2,185,20,2,1,121,11.3,64,78,1,55,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422911630489998","282502580489998","",2015,13,1,31,16,2,1,621,9.4,70,23,39,94,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422911660489998","282502581489998","",2015,13,1,31,64,2,1,131,9.2,80,17,2,126,50,4,173,14.2,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422911725489998","282502582489998","",2015,13,1,65,17,1,1,111,9.4,67,17,1,93,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422911759489998","282502583489998","",2015,13,2,173,8,1,1,121,12.4,76,32,1,85,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422911760489998","282502583489998","",2015,13,2,173,8,1,2,131,9.6,70,25,2,89,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422911817489998","282502584489998","",2015,13,1,101,9,1,1,111,7.8,58,14,1,90,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422911890489998","282502585489998","",2015,13,1,101,27,1,1,111,7.3,40,14,1,69,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422911926489998","282502586489998","",2015,13,1,101,29,1,1,111,6.9,54,13,1,88,50,1,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422912012489998","282502587489998","",2015,13,1,101,55,1,1,128,10.7,67,20,3,92,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422912013489998","282502587489998","",2015,13,1,101,55,2,2,111,8.8,67,17,1,93,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422912080489998","282502588489998","",2015,13,1,29,51,2,1,131,10.9,76,17,2,119,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422912173489998","282502590489998","",2015,13,1,179,17,1,1,131,14.2,98,56,2,94,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422912217489998","282502592489998","",2015,13,1,183,83,1,1,111,9.2,58,18,1,81,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422912254489998","282502593489998","",2015,13,1,183,14,1,1,131,9,57,14,2,102,50,1,60,41,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422912421489998","282502595489998","",2015,13,1,191,16,1,1,131,12.4,86,29,2,102,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422912422489998","282502595489998","",2015,13,1,191,16,2,1,131,12.4,86,29,2,102,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422912579489998","282502597489998","",2015,13,4,143,26,1,1,812,11.1,72,51,28,70,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422912627489998","282502598489998","",2015,13,4,45,19,2,1,621,23.8,108,40,39,114,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422912656489998","282502599489998","",2015,13,5,213,17,1,1,802,19.6,97,99,25,74,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422912691489998","282502601489998","",2015,13,5,313,37,1,1,131,8.2,52,15,2,89,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422912903489998","282502609489998","",2015,13,1,29,21,1,1,131,16.3,103,48,2,102,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422913067489998","282502632489998","",2015,13,3,319,40,1,1,131,11.8,63,23,2,83,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"422913068489998","282502632489998","",2015,13,3,319,40,1,2,131,9.4,67,23,2,88,50,,,,1,,1,"",2016-07-28,"489998","",2017-03-07,"489998",11,1,,,,,,,,,"",,"",,,,,"",,,""
"238982480010854","56694865010478","",1997,13,1,209,9,2,1,111,12.3,73,40,1,76,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982481010854","56697420010478","",1997,13,5,213,24,1,1,131,11.9,78,53,2,76,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982483010854","56697657010478","",1997,13,5,213,28,1,1,131,11.4,69,39,2,73,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982484010854","56697788010478","",1997,13,5,213,23,1,1,131,10.1,48,11,2,104,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982485010854","56698251010478","",1997,13,5,213,19,1,1,131,10.7,53,20,2,75,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982486010854","56698418010478","",1997,13,5,213,22,2,1,131,13.1,67,40,2,70,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982489010854","56698592010478","",1997,13,5,213,9,2,1,802,8.3,63,35,25,77,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982490010854","56699050010478","",1997,13,5,213,26,2,1,110,16,80,109,2,57,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982492010854","56699277010478","",1997,13,5,213,27,1,1,131,11.5,67,20,2,95,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982493010854","56699424010478","",1997,13,5,213,30,1,1,131,12.7,84,45,2,85,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982494010854","56699946010478","",1997,13,3,215,6,1,1,131,13,85,36,2,93,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982495010854","56700166010478","",1997,13,3,215,13,2,1,131,16,94,39,2,100,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982497010854","56700409010478","",1997,13,3,215,16,3,1,131,8.3,46,33,2,52,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982498010854","56700760010478","",1997,13,3,215,24,1,1,131,18,83,70,2,75,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982499010854","56700917010478","",1997,13,3,215,25,1,1,121,15,81,84,1,69,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982500010854","56700917010478","",1997,13,3,215,25,2,2,131,12,63,35,2,69,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982502010854","56701282010478","",1997,13,4,217,30,1,1,131,9,65,45,2,66,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982503010854","56701366010478","",1997,13,4,217,25,4,1,131,12.7,81,50,2,80,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982504010854","56701744010478","",1997,13,4,217,6,1,1,131,7.3,60,23,2,79,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982505010854","56701744010478","",1997,13,4,217,6,2,1,131,7.3,60,23,2,79,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982506010854","56701864010478","",1997,13,4,217,31,1,1,131,12.9,85,66,2,78,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982507010854","56701973010478","",1997,13,4,217,23,1,1,131,14,80,39,2,85,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982508010854","56702201010478","",1997,13,4,217,4,2,1,131,17.4,88,35,2,97,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
"238982509010854","56702321010478","",1997,13,4,217,17,1,1,131,13.5,108,45,2,109,50,,,,1,,1,"",2010-08-17,"10854","",2017-03-07,"489998",7,0,,,,,,,,,"",,"",,,,,"",,,""
