field_1,CN,PLT_CN,PREV_SIT_C,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,CONDID,TREE,SPCD,DIA,HT,AGEDIA,SPGRPCD,SITREE,SIBASE,SUBP,AZIMUTH,DIST,METHOD,SITREE_EST,VALIDCD,CREATED_BY,CREATED_DA,CREATED_IN,MODIFIED_B,MODIFIED_D,MODIFIED_I,CYCLE,SUBCYCLE,AGECHKCD_R,AGE_DETERM,CCLCD_RMRS,DAMAGE_AGE,SIBASE_AGE,SITETRCD_R,SITE_AGE_T,SITE_TREE_,SITREE_EQU,TREECLCD_R,TREE_ACT_R,YEAR_AGE_T,LAT,LON,wc2.0_bio_
"11","205018167010854","20347303010478",NA,"2002","12","1","7","9","2","1","131",15.4,"75","19","2","110","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.057265,-82.166451,20.07779
"12","205018165010854","20346874010478",NA,"2002","12","1","7","11","1","1","131",7.4,"52","17","2","82","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.885029,-82.167102,20.18664
"13","205018168010854","20347191010478",NA,"2002","12","1","7","17","2","1","611",14.1,"78","40","34","82","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.926136,-82.360866,20.27419
"14","205018166010854","20347248010478",NA,"2002","12","1","7","21","1","1","131",11.8,"69","21","2","96","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.901926,-82.227269,20.18664
"15","205018184010854","20340116010478",NA,"2002","12","1","19","31","1","1","121",12.2,"76","56","1","70","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.145254,-81.988313,20.28551
"16","205018185010854","20340339010478",NA,"2002","12","1","19","40","1","1","611",14.9,"69","52","34","63","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.064688,-81.725055,20.58432
"17","205018193010854","20343216010478",NA,"2002","12","1","23","6","1","1","131",13.7,"79","25","2","100","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.223223,-82.629804,19.84337
"18","205018195010854","20343216010478",NA,"2002","12","1","23","6","2","1","131",13.7,"79","25","2","100","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.223223,-82.629804,19.84337
"19","205018191010854","20342876010478",NA,"2002","12","1","23","41","1","1","111",9,"56","22","1","73","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.525723,-82.551311,19.57081
"20","205018194010854","20342876010478",NA,"2002","12","1","23","41","2","1","111",9,"56","22","1","73","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.525723,-82.551311,19.57081
"21","205018192010854","173002845010854",NA,"2002","12","1","23","87","1","1","121",13.7,"80","87","1","68","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.24141,-82.524132,19.84337
"22","205018197010854","20350637010478",NA,"2002","12","1","29","39","1","1","111",10,"59","35","1","65","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.585302,-83.199856,20.27306
"23","205018198010854","20350729010478",NA,"2002","12","1","29","43","1","1","131",9,"60","22","2","81","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.434894,-83.136996,20.47845
"24","205018196010854","20350588010478",NA,"2002","12","1","29","57","1","1","111",9,"57","24","1","72","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.531779,-83.217579,20.27306
"25","205018200010854","20351698010478",NA,"2002","12","1","31","1","1","1","111",14.6,"71","44","1","72","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.524366,-81.709322,20.01019
"26","205018202010854","20351698010478",NA,"2002","12","1","31","1","2","1","111",14.6,"71","44","1","72","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.524366,-81.709322,20.01019
"27","205018199010854","20351882010478",NA,"2002","12","1","31","10","1","1","111",7.6,"53","25","1","66","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.381015,-81.902588,19.98954
"28","205018201010854","20351297010478",NA,"2002","12","1","31","42","2","1","111",10.3,"59","22","1","76","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.455317,-81.710191,20.36223
"29","205018212010854","20293758010478",NA,"2002","12","1","35","6","2","1","111",12.4,"49","19","1","70","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.508511,-81.232715,21.01716
"30","205018208010854","20293793010478",NA,"2002","12","1","35","10","1","1","111",8.6,"52","21","1","70","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.276588,-81.176303,21.12932
"31","205018210010854","20293504010478",NA,"2002","12","1","35","15","1","1","111",11.2,"60","27","1","72","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.594566,-81.511336,20.82466
"32","205018209010854","20293886010478",NA,"2002","12","1","35","30","1","1","111",9.6,"49","15","1","77","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.513418,-81.497804,20.78202
"33","205018211010854","20293636010478",NA,"2002","12","1","35","33","1","1","131",14.6,"55","15","2","94","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.383666,-81.28597,21.06447
"34","205018224010854","20295622010478",NA,"2002","12","1","41","8","1","1","111",10.4,"71","25","1","85","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.672424,-82.734722,20.37957
"35","205018223010854","20295590010478",NA,"2002","12","1","41","19","1","1","111",9.4,"61","34","1","67","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.76196,-82.829575,20.37957
"36","205018231010854","20297311010478",NA,"2002","12","1","47","10","1","1","131",10.2,"57","21","2","79","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.62879,-83.26407,19.67109
"37","205018232010854","20297640010478",NA,"2002","12","1","47","11","1","1","131",10.3,"40","17","2","63","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.463967,-82.735083,19.84827
"38","205018233010854","20297657010478",NA,"2002","12","1","47","21","1","1","827",5.8,"41","18","28","83","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.422224,-83.164313,19.84455
"39","205018234010854","20297657010478",NA,"2002","12","1","47","21","2","1","827",5.8,"41","18","28","83","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.422224,-83.164313,19.84455
"40","205018271010854","20304111010478",NA,"2002","12","1","67","3","1","1","111",8.4,"64","19","1","86","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.835958,-82.966287,20.26093
"41","205018272010854","20303725010478",NA,"2002","12","1","67","26","1","1","131",6.9,"52","15","2","89","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.915749,-83.238904,19.96578
"42","205018274010854","20303725010478",NA,"2002","12","1","67","26","2","1","131",6.9,"52","15","2","89","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.915749,-83.238904,19.96578
"43","205018273010854","20304223010478",NA,"2002","12","1","67","29","2","1","111",9.3,"68","23","1","85","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.906902,-82.946702,20.26093
"44","205018270010854","20303487010478",NA,"2002","12","1","67","30","1","1","111",6.4,"42","15","1","69","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.214107,-83.288668,19.90672
"45","205018308010854","20307985010478",NA,"2002","12","1","75","19","1","1","131",15,"85","41","2","89","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.047361,-82.699275,20.96572
"46","205018310010854","20307366010478",NA,"2002","12","1","75","25","1","1","611",12.8,"81","52","34","74","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.226934,-82.624756,20.94223
"47","205018309010854","20307073010478",NA,"2002","12","1","75","35","1","1","131",16.3,"60","18","2","91","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.272882,-82.879453,20.68137
"48","205018307010854","20306992010478",NA,"2002","12","1","75","72","1","1","131",12.6,"66","22","2","89","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.221858,-82.899529,20.68137
"49","205018306010854","20307613010478",NA,"2002","12","1","75","84","1","1","131",10.6,"63","20","2","90","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.360451,-82.426665,20.79311
"50","205018346010854","20284858010478",NA,"2002","12","1","79","8","1","1","111",12.2,"62","27","1","74","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.295178,-83.383444,19.62742
"51","205018349010854","20285077010478",NA,"2002","12","1","79","10","1","1","131",9.7,"50","17","2","78","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.546516,-83.590497,19.45204
"52","205018351010854","20285052010478",NA,"2002","12","1","79","18","1","1","131",15.9,"71","56","2","68","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.371379,-83.625398,19.55025
"53","205018347010854","20285243010478",NA,"2002","12","1","79","20","1","1","131",7.2,"48","15","2","82","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.3633,-83.212568,19.87279
"54","205018350010854","20284981010478",NA,"2002","12","1","79","29","1","1","131",10,"68","27","2","83","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.308809,-83.23655,19.90672
"55","205018345010854","20285187010478",NA,"2002","12","1","79","38","1","1","111",6.3,"51","16","1","77","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.517816,-83.281229,19.67109
"56","205018348010854","20285109010478",NA,"2002","12","1","79","41","1","1","131",8.7,"48","17","2","75","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.377703,-83.350908,19.66632
"57","205018368010854","20285603010478",NA,"2002","12","1","83","3","1","1","131",8.3,"46","18","2","70","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.080183,-82.19141,21.20897
"58","205018367010854","20286726010478",NA,"2002","12","1","83","4","1","1","121",20.2,"73","70","1","64","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.432857,-81.810193,20.85531
"59","205018360010854","20286746010478",NA,"2002","12","1","83","31","1","1","107",10.8,"59","53","3","56","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.219804,-81.767171,20.85199
"60","205018373010854","20286401010478",NA,"2002","12","1","83","40","3","1","107",9.2,"57","20","3","101","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.202564,-81.931361,20.81847
"61","205018364010854","20285797010478",NA,"2002","12","1","83","42","1","1","111",8.6,"42","15","1","69","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.988181,-81.868973,21.54789
"62","205018366010854","20286699010478",NA,"2002","12","1","83","58","1","1","111",14.3,"91","60","1","87","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.042864,-81.836044,21.20464
"63","205018357010854","20286196010478",NA,"2002","12","1","83","60","1","1","107",9.5,"50","37","3","56","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.284839,-81.869484,20.81847
"64","205018370010854","20286196010478",NA,"2002","12","1","83","60","1","2","111",16.1,"72","48","1","72","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.284839,-81.869484,20.81847
"65","205018372010854","20286196010478",NA,"2002","12","1","83","60","2","1","107",9.5,"50","37","3","56","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.284839,-81.869484,20.81847
"66","205018361010854","20286015010478",NA,"2002","12","1","83","90","1","1","107",11.2,"61","38","3","68","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.136,-81.644002,21.11617
"67","205018365010854","20286576010478",NA,"2002","12","1","83","95","1","1","111",9.7,"55","30","1","64","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.153186,-82.512956,21.10983
"68","205018369010854","20285712010478",NA,"2002","12","1","83","99","1","1","131",16.3,"72","67","2","66","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.212306,-82.047999,21.05234
"69","205018363010854","146561845010478",NA,"2002","12","1","83","178","1","1","107",13,"49","32","3","60","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.034553,-81.666795,20.97240
"70","205018358010854","137153681010478",NA,"2002","12","1","83","179","1","1","107",9.8,"44","23","3","69","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.149923,-81.788071,20.97240
"71","205018359010854","173002857010854",NA,"2002","12","1","83","180","1","1","107",10.5,"59","30","3","76","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.300894,-81.731244,20.85199
"72","205018371010854","173002862010854",NA,"2002","12","1","83","181","2","1","107",7.6,"55","21","3","93","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.044673,-81.672213,20.97240
"73","205018352010854","173002855010854",NA,"2002","12","1","83","182","1","1","107",5.9,"40","17","3","83","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.193106,-81.757932,20.85199
"74","205018362010854","137153867010478",NA,"2002","12","1","83","183","1","1","107",12.7,"59","27","3","82","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.138424,-81.6666,21.11617
"75","205018356010854","137154064010478",NA,"2002","12","1","83","184","1","1","107",7.9,"62","28","3","84","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.265822,-81.744436,20.85199
"76","205018353010854","137154233010478",NA,"2002","12","1","83","185","1","1","107",6.6,"42","17","3","87","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.054212,-81.668865,20.97240
"77","205018354010854","173002853010854",NA,"2002","12","1","83","187","1","1","107",7.9,"50","27","3","69","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.210422,-81.744614,20.85199
"78","205018355010854","137153788010478",NA,"2002","12","1","83","189","1","1","107",7.9,"51","20","3","90","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.205194,-81.786108,20.85199
"79","205018378010854","20288486010478",NA,"2002","12","1","89","4","1","1","111",10.2,"61","21","1","80","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.684796,-81.774357,19.83344
"80","205018380010854","20288639010478",NA,"2002","12","1","89","7","1","1","131",15.5,"71","21","2","98","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.683372,-81.625904,20.05333
"81","205018382010854","20288639010478",NA,"2002","12","1","89","7","2","1","131",15.5,"71","21","2","98","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.683372,-81.625904,20.05333
"82","205018377010854","20288759010478",NA,"2002","12","1","89","11","1","1","111",9.9,"58","27","1","70","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.499063,-81.837548,19.98954
"83","205018381010854","20288759010478",NA,"2002","12","1","89","11","2","1","111",9.9,"58","27","1","70","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.499063,-81.837548,19.98954
"84","205018379010854","20288580010478",NA,"2002","12","1","89","16","1","1","111",12.8,"67","20","1","88","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.604453,-81.652171,20.15624
"85","205018376010854","20288401010478",NA,"2002","12","1","89","37","1","1","111",9.3,"51","31","1","59","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.614551,-81.975262,19.93117
"86","205018427010854","20325557010478",NA,"2002","12","1","107","5","1","1","121",20.5,"65","91","1","55","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.605435,-81.900392,20.68131
"87","205018428010854","20326470010478",NA,"2002","12","1","107","17","1","1","131",11.6,"61","24","2","79","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.59519,-82.052962,20.56646
