field_1,CN,PLT_CN,PREV_SIT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,CONDID,TREE,SPCD,DIA,HT,AGEDIA,SPGRPCD,SITREE,SIBASE,SUBP,AZIMUTH,DIST,METHOD,SITREE_EST,VALIDCD,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,CYCLE,SUBCYCLE,AGECHKCD_RMRS,AGE_DETERMINATION_METHOD_PNWRS,CCLCD_RMRS,DAMAGE_AGENT_CD1_RMRS,DAMAGE_AGENT_CD2_RMRS,DAMAGE_AGENT_CD3_RMRS,SIBASE_AGE_PNWRS,SITETRCD_RMRS,SITE_AGE_TREE_STATUS_PNWRS,SITE_AGE_TREE_TYPE_PNWRS,SITE_TREE_METHOD_PNWRS,SITREE_EQU_NO_PNWRS,TREECLCD_RMRS,TREE_ACT_RMRS,YEAR_AGE_TAKEN,SIEQN_REF_CD,SITREE_FVS,SIBASE_FVS,SIEQN_REF_CD_FVS,LAT,LON,rvalue_1
"72","422911384489998","282502573489998",NA,"2015","13","1","101","20","1","1","111",9.2,"64","19","1","86","50",NA,NA,NA,"1",NA,"1",NA,2016-07-28,"489998",NA,2017-03-07,"489998","11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.80747,-83.072516,19.4028854370117
"73","422911420489998","282502574489998",NA,"2015","13","1","101","23","1","1","111",8.5,"63","20","1","84","50","1","4","8.5","1",NA,"1",NA,2016-07-28,"489998",NA,2017-03-07,"489998","11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.743762,-83.08687,19.4028854370117
"74","422911492489998","282502575489998",NA,"2015","13","2","185","43","2","1","111",9.5,"66","17","1","92","50",NA,NA,NA,"1",NA,"1",NA,2016-07-28,"489998",NA,2017-03-07,"489998","11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.811464,-83.21008,19.4757194519043
"75","422911493489998","282502575489998",NA,"2015","13","2","185","43","3","1","111",9.5,"66","17","1","92","50",NA,NA,NA,"1",NA,"1",NA,2016-07-28,"489998",NA,2017-03-07,"489998","11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.811464,-83.21008,19.4757194519043
"79","422911725489998","282502582489998",NA,"2015","13","1","65","17","1","1","111",9.4,"67","17","1","93","50",NA,NA,NA,"1",NA,"1",NA,2016-07-28,"489998",NA,2017-03-07,"489998","11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.899842,-82.854739,19.2262496948242
"82","422911817489998","282502584489998",NA,"2015","13","1","101","9","1","1","111",7.8,"58","14","1","90","50",NA,NA,NA,"1",NA,"1",NA,2016-07-28,"489998",NA,2017-03-07,"489998","11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.822384,-82.916524,19.3257179260254
"83","422911890489998","282502585489998",NA,"2015","13","1","101","27","1","1","111",7.3,"40","14","1","69","50",NA,NA,NA,"1",NA,"1",NA,2016-07-28,"489998",NA,2017-03-07,"489998","11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.735358,-82.930653,19.3257179260254
"84","422911926489998","282502586489998",NA,"2015","13","1","101","29","1","1","111",6.9,"54","13","1","88","50","1",NA,NA,"1",NA,"1",NA,2016-07-28,"489998",NA,2017-03-07,"489998","11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.663575,-82.979229,19.5214691162109
"86","422912013489998","282502587489998",NA,"2015","13","1","101","55","2","2","111",8.8,"67","17","1","93","50",NA,NA,NA,"1",NA,"1",NA,2016-07-28,"489998",NA,2017-03-07,"489998","11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.646772,-83.128782,19.6084480285645
"89","422912217489998","282502592489998",NA,"2015","13","1","183","83","1","1","111",9.2,"58","18","1","81","50",NA,NA,NA,"1",NA,"1",NA,2016-07-28,"489998",NA,2017-03-07,"489998","11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.686233,-81.655653,19.2126140594482
"100","238982480010854","56694865010478",NA,"1997","13","1","209","9","2","1","111",12.3,"73","40","1","76","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.147506,-82.540566,18.7068748474121
"190","238982635010854","56586598010478",NA,"1997","13","3","245","29","1","1","111",10,"57","34","1","63","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.293616,-82.273008,17.3018226623535
"195","238982642010854","56587366010478",NA,"1997","13","3","245","39","1","1","111",10,"42","14","1","71","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.310281,-82.115931,17.376802444458
"211","238982668010854","56591948010478",NA,"1997","13","1","251","15","1","1","111",9.4,"97","46","1","97","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.738449,-81.662523,18.2564678192139
"215","238982673010854","56593907010478",NA,"1997","13","1","251","16","1","1","111",15.2,"81","55","1","78","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.575675,-81.472239,18.4562702178955
"216","238982349010854","56598103010478",NA,"1997","13","3","177","30","1","1","111",12.8,"70","28","1","81","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.729063,-84.166796,18.6325931549072
"219","238982353010854","56601592010478",NA,"1997","13","1","179","56","1","1","111",11,"71","37","1","76","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.029464,-81.726358,18.8803234100342
"329","238884501010854","61075905010478",NA,"1998","13","1","299","21","1","1","111",16.7,"84","84","1","75","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.396958,-82.544951,19.1399383544922
"330","238884502010854","61075905010478",NA,"1998","13","1","299","21","1","2","111",9.4,"46","20","1","65","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.396958,-82.544951,19.1399383544922
"331","238884503010854","61076040010478",NA,"1998","13","1","299","77","1","1","111",6.6,"58","52","1","56","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.299743,-82.441327,19.3821659088135
"332","238884504010854","61076040010478",NA,"1998","13","1","299","77","1","2","111",9.2,"62","46","1","62","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.299743,-82.441327,19.3821659088135
"334","238981802010854","56810774010478",NA,"1997","13","2","75","1","1","1","111",7.1,"48","17","1","72","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.255266,-83.493775,19.0880832672119
"335","238981805010854","56810886010478",NA,"1997","13","2","75","30","1","1","111",15.9,"89","79","1","81","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.066003,-83.287946,19.2180309295654
"337","238981812010854","56811486010478",NA,"1997","13","2","75","6","1","1","111",12.4,"65","39","1","69","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.321558,-83.48482,19.0880832672119
"360","238981847010854","56819059010478",NA,"1997","13","2","81","2","2","1","111",7.3,"43","18","1","64","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.863275,-83.774003,18.5940837860107
"361","238981853010854","56819769010478",NA,"1997","13","2","81","21","2","1","111",9.3,"59","23","1","75","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.976566,-83.618921,18.5302181243896
"384","238981881010854","56823763010478",NA,"1997","13","2","87","77","2","1","111",13.1,"69","27","1","81","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.826149,-84.724214,19.2319278717041
"386","238981884010854","56824553010478",NA,"1997","13","2","87","4","1","1","111",9.2,"56","25","1","70","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.750534,-84.623959,19.1016883850098
"403","238981571010854","56831953010478",NA,"1997","13","1","49","53","1","1","111",15,"90","111","1","78","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.781216,-82.133688,19.7631664276123
"404","238981573010854","56832211010478",NA,"1997","13","1","49","95","1","1","111",11.4,"69","27","1","81","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.421015,-82.138266,19.9016456604004
"406","238981576010854","56832444010478",NA,"1997","13","1","49","71","1","1","111",10.7,"66","22","1","84","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.938082,-82.107921,19.5637493133545
"407","238981583010854","56832663010478",NA,"1997","13","1","49","35","1","1","111",7.8,"54","18","1","77","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.558313,-82.132956,19.7840843200684
"408","238981584010854","56832703010478",NA,"1997","13","1","49","79","2","1","111",9.7,"52","51","1","51","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.469136,-82.137912,19.9016456604004
"409","238981585010854","56832773010478",NA,"1997","13","1","49","55","1","1","111",10,"65","39","1","69","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.461678,-82.120052,19.9016456604004
"410","238981586010854","56832868010478",NA,"1997","13","1","49","26","2","1","111",10.1,"60","39","1","63","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.584739,-82.139238,19.7840843200684
"411","238981590010854","56833537010478",NA,"1997","13","1","49","98","1","1","111",10.3,"72","27","1","84","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.737854,-82.098884,19.7631664276123
"413","238981598010854","56833872010478",NA,"1997","13","1","49","6","1","1","111",7.7,"64","21","1","83","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.93408,-81.983851,19.661979675293
"414","238981599010854","56833976010478",NA,"1997","13","1","49","64","2","1","111",9.8,"55","32","1","62","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.891174,-81.997076,19.661979675293
"415","238981600010854","56834025010478",NA,"1997","13","1","49","13","3","1","111",9.3,"37","15","1","63","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.87036,-82.02087,19.5637493133545
"416","238981602010854","56834192010478",NA,"1997","13","1","49","3","1","1","111",7.5,"55","18","1","78","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.676875,-82.071813,19.7631664276123
"417","238981605010854","56834297010478",NA,"1997","13","1","49","66","1","1","111",10.6,"68","25","1","82","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.625156,-82.066449,19.7840843200684
"418","238981609010854","56834861010478",NA,"1997","13","1","49","12","1","1","111",9.8,"52","23","1","67","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.957674,-81.933275,19.661979675293
"419","238981611010854","56835189010478",NA,"1997","13","1","49","62","1","1","111",10.3,"66","31","1","75","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.869639,-82.040846,19.5637493133545
"420","238981612010854","56835475010478",NA,"1997","13","1","49","78","2","1","111",8.7,"65","20","1","86","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.061055,-82.048923,19.4869785308838
"421","238981615010854","56835906010478",NA,"1997","13","1","49","34","1","1","111",7.7,"46","25","1","59","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.710837,-82.045004,19.7631664276123
"422","238981616010854","56836119010478",NA,"1997","13","1","49","99","1","1","111",7.6,"53","19","1","74","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.778536,-82.123682,19.7631664276123
"423","238981619010854","56836148010478",NA,"1997","13","1","51","47","1","1","111",9.1,"65","30","1","74","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.09751,-81.368239,18.9525947570801
"425","238981624010854","56838548010478",NA,"1997","13","1","51","50","2","1","111",12.6,"76","45","1","77","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.172783,-81.241147,18.8500728607178
"436","238884505010854","61076391010478",NA,"1998","13","1","299","46","1","1","111",13.2,"81","42","1","83","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.21155,-82.397537,19.3821659088135
"437","238884506010854","61076391010478",NA,"1998","13","1","299","46","1","2","111",14.4,"91","42","1","93","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.21155,-82.397537,19.3821659088135
"438","238884507010854","61076480010478",NA,"1998","13","1","299","8","1","1","111",8.5,"67","24","1","82","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.121943,-82.374528,19.3367080688477
"439","238884508010854","61076480010478",NA,"1998","13","1","299","8","1","2","111",8,"65","24","1","80","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.121943,-82.374528,19.3367080688477
"440","238884509010854","61077191010478",NA,"1998","13","1","299","52","2","1","111",11.3,"72","28","1","83","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.368264,-82.445758,19.2377605438232
"441","238884510010854","61077191010478",NA,"1998","13","1","299","52","2","2","111",9.9,"68","28","1","79","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.368264,-82.445758,19.2377605438232
"446","238884515010854","61078357010478",NA,"1998","13","3","303","55","1","1","111",11.1,"71","34","1","78","50",NA,NA,NA,"1",NA,"1",NA,2010-08-18,"10854",NA,2017-03-07,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.071258,-82.942382,17.4638957977295
"447","238884516010854","61078357010478",NA,"1998","13","3","303","55","1","2","111",11.6,"54","37","1","58","50",NA,NA,NA,"1",NA,"1",NA,2010-08-18,"10854",NA,2017-03-07,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.071258,-82.942382,17.4638957977295
"454","238884523010854","61079943010478",NA,"1998","13","1","305","17","1","1","111",8.1,"57","16","1","84","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.618171,-81.83884,19.2640933990479
