"","X","OID","PLT_CN","LAT","LON","TIME_INT","wc2_1_30s_","ai_et0_NAD","SOC0_5_NAD","SOC5_15NAD","N5_15_NAD","N0_5_NAD","SOILGRIDS_C_AVG","SOILGRIDS_N_AVG","SOILGRIDS_CN","SOILGRIDS_CN_SCALE","aridity","TPA_start","TPA_end","Plot","species"
"26",26,-1,43854384020000,30.024092,-84.927744,9,19.8250008,9648,622,145,620,1145,30.4,7.95,3.82389937106918,48.3880628930818,0.9648,93,228,"Validation","Slash"
"28",28,-1,374861409490000,29.342185,-82.946217,11,20.5625,8922,693,178,1383,2020,34.9666666666667,15.9533333333333,2.19180944421229,38.2495202674467,0.8922,6,18,"Calibration","Slash"
"30",30,-1,249673712011000,30.293482,-83.038891,6,20.1375008,8322,282,88,178,1161,15.2666666666667,5.05666666666667,3.01911667765326,43.3887528015821,0.8322,687,900,"Calibration","Slash"
"31",31,-1,374861698490000,30.201872,-82.901962,13,19.9792004,8547,296,144,193,1156,19.4666666666667,5.14,3.78728923476005,48.1606407263294,0.8547,150,288,"Validation","Slash"
"32",32,-1,374861101490000,30.502684,-85.398236,13,19.1417007,9750,573,114,197,986,26.7,4.6,5.80434782608696,60.6906086956522,0.975,18,18,"Validation","Slash"
"34",34,-1,249673611011000,30.217621,-84.06978,7,19.6667004,9287,665,136,516,1297,31.2333333333333,7.76333333333333,4.02318591670245,49.6260309145556,0.9287,12,111,"Validation","Slash"
"36",36,-1,90828118010500,30.295607,-83.419014,6,19.6875,8670,664,205,524,1411,35.8,8.19666666666667,4.36762911752745,51.7657120780805,0.867,12,12,"Validation","Slash"
"38",38,-1,259178850011000,26.878383,-81.705752,8,22.8332996,7190,652,676,1159,1503,66.8,12.7366666666667,5.24470034022507,57.2140785134781,0.719,30,30,"Calibration","Slash"
"39",39,-1,259178788011000,26.805476,-82.022033,5,23.0708008,7020,343,371,759,1250,36.1666666666667,9.22666666666667,3.91979768786127,48.9837832369942,0.702,12,66,"Calibration","Slash"
"40",40,-1,43854984020000,29.864601,-81.705221,6,20.4207993,7873,263,131,375,1193,17.5,6.47666666666667,2.70200720535255,41.41886875965,0.7873,165,186,"Validation","Slash"
"44",44,-1,43854459020000,30.304911,-85.841225,6,19.4500008,9939,703,291,595,1204,42.8333333333333,7.98,5.36758563074353,57.9774419381788,0.9939,315,450,"Calibration","Slash"
"45",45,-1,43854490020000,30.413242,-85.802857,6,19.2292004,9954,508,144,428,1232,26.5333333333333,6.96,3.81226053639847,48.3157624521073,0.9954,87,174,"Calibration","Slash"
"46",46,-1,43854437020000,29.806525,-84.748165,6,20.0583,9265,667,328,708,1188,44.1,8.68,5.08064516129032,56.1949677419355,0.9265,435,513,"Calibration","Slash"
"49",49,-1,218219294020000,29.545695,-83.072685,6,20.2292004,9010,624,142,1330,1939,30.2666666666667,15.33,1.97434224831485,36.8986140465319,0.901,36,36,"Validation","Slash"
"53",53,-1,218218650020000,30.221518,-82.962715,6,20.1166992,8409,303,125,190,1754,18.4333333333333,7.11333333333333,2.59137769447048,40.7316382380506,0.8409,675,882,"Validation","Slash"
"56",56,-1,218219313020000,30.206308,-85.439309,5,19.4750004,10001,644,147,666,1453,31.2666666666667,9.28333333333333,3.36804308797128,45.5562836624776,1.0001,30,30,"Validation","Slash"
"58",58,-1,218218058020000,29.968183,-84.789076,6,19.8416996,9538,707,227,699,1377,38.7,9.25,4.18378378378378,50.6236648648649,0.9538,6,6,"Calibration","Slash"
"59",59,-1,218218371020000,28.526949,-82.024668,5,21.6082993,7430,506,221,1860,2291,31.6,20.0366666666667,1.57710863417069,34.4309988354683,0.743,276,285,"Validation","Slash"
"61",61,-1,289515959490000,30.24844,-82.233093,6,19.9249992,8374,484,112,650,1729,23.6,10.0966666666667,2.3374050841862,39.1539603829647,0.8374,24,30,"Calibration","Slash"
"62",62,-1,289515364490000,29.957044,-82.031996,5,20.2374992,8192,353,140,425,1749,21.1,8.66333333333333,2.43555213543671,39.7636498653328,0.8192,147,147,"Calibration","Slash"
"63",63,-1,289515544490000,29.712765,-83.287972,6,20.1457996,8987,773,146,1211,2015,35.5,14.79,2.40027045300879,39.5444800540906,0.8987,300,414,"Validation","Slash"
"64",64,-1,289515770490000,29.635033,-82.740917,5,20.4125004,8780,392,148,1122,1824,22.9333333333333,13.56,1.69124877089479,35.1400373647984,0.878,6,93,"Calibration","Slash"
"67",67,-1,289515155490000,29.907738,-84.54454,6,19.9500008,9426,485,316,586,1268,37.2333333333333,8.13333333333333,4.57786885245902,53.0717213114754,0.9426,240,261,"Validation","Slash"
"68",68,-1,289515089490000,30.127169,-85.250613,7,19.6958008,10180,747,289,752,1372,44.1666666666667,9.58666666666667,4.60709318497914,53.2532628650904,1.018,66,78,"Calibration","Slash"
"69",69,-1,289515496490000,30.251576,-83.926927,5,19.5958004,9143,725,167,580,1588,35.3,9.16,3.85371179039301,48.5732576419214,0.9143,12,12,"Validation","Slash"
"71",71,-1,289514953490000,30.238201,-84.519751,6,19.5333004,9676,598,171,407,1545,31.3333333333333,7.86333333333333,3.984739296312,49.3872005086901,0.9676,120,132,"Calibration","Slash"
"72",72,-1,289515285490000,28.225528,-81.660558,5,22.1082993,7112,592,349,831,1450,43,10.3733333333333,4.1452442159383,50.3842570694087,0.7112,411,549,"Validation","Slash"
"74",74,-1,289515622490000,26.728433,-81.657791,6,23.0375004,7309,441,368,604,1069,39.2333333333333,7.59,5.16908212560386,56.7443381642512,0.7309,624,786,"Validation","Slash"
"75",75,-1,374862327490000,30.277382,-82.378479,6,19.7957993,8498,583,151,350,1551,29.5,7.50333333333333,3.93158596179476,49.057011994669,0.8498,24,225,"Calibration","Slash"
"76",76,-1,374861330490000,30.266891,-81.892246,7,20.2124996,8227,513,147,569,1671,26.9,9.36333333333333,2.87290850836597,42.4805076539694,0.8227,75,189,"Validation","Slash"
"77",77,-1,374861704490000,29.960836,-83.012265,6,20.2042007,8631,434,161,699,1797,25.2,10.65,2.36619718309859,39.3328169014084,0.8631,894,1005,"Calibration","Slash"
"80",80,-1,374861537490000,30.216548,-83.645514,5,19.7707996,8912,718,148,419,1644,33.8,8.27333333333333,4.08541498791297,50.0125979049154,0.8912,60,60,"Calibration","Slash"
"83",83,-1,374860905490000,30.50614,-85.289595,6,19.1917,9566,346,148,199,839,21.4,4.12333333333333,5.18997574777688,56.87412934519,0.9566,138,216,"Validation","Slash"
"86",86,-1,374861004490000,29.905883,-84.343006,7,20.2042007,9321,463,348,481,915,38.6333333333333,6.25666666666667,6.17474693660096,62.9915279701652,0.9321,552,579,"Calibration","Slash"
"87",87,-1,374861465490000,30.297002,-84.043101,5,19.5207996,9297,686,174,566,1334,34.4666666666667,8.22,4.19302514193025,50.6810721816707,0.9297,423,528,"Calibration","Slash"
"90",90,-1,374861218490000,27.637239,-82.312047,7,22.4958,7219,509,489,1168,1711,49.5666666666667,13.49,3.67432666172473,47.458917222634,0.7219,12,12,"Calibration","Slash"
"91",91,-1,374861814490000,27.018762,-82.263467,5,22.875,7061,908,805,1400,1550,83.9333333333333,14.5,5.78850574712644,60.5921977011494,0.7061,42,498,"Validation","Slash"
"92",92,-1,374862140490000,26.869891,-81.759364,5,22.9666996,7178,592,490,835,1307,52.4,9.92333333333333,5.28048370843131,57.4363647967753,0.7178,72,72,"Calibration","Slash"
"93",93,-1,374861792490000,26.840036,-81.886267,6,23.0916996,7100,536,512,1233,1522,52,13.2933333333333,3.91173520561685,48.9336990972919,0.71,411,423,"Calibration","Slash"
"96",96,-1,20290570010500,28.252987,-81.122303,7,22.1166992,7121,1048,1304,1500,1615,121.866666666667,15.3833333333333,7.92199349945829,73.8454236186349,0.7121,24,24,"Validation","Slash"
"101",101,-1,289515448490000,27.203069,-81.499849,12,22.5249996,6914,552,565,1015,1362,56.0666666666667,11.3066666666667,4.95872641509434,55.437608490566,0.6914,330,336,"Calibration","Slash"
"102",102,-1,289516018490000,27.727747,-80.448391,13,22.6833,7189,473,535,1213,1196,51.4333333333333,12.0733333333333,4.26007730535616,51.0976002208725,0.7189,6,6,"Calibration","Slash"
"103",103,-1,289516016490000,27.756279,-80.606558,13,22.5708008,7080,439,530,1029,1181,49.9666666666667,10.7966666666667,4.62797159617166,53.3829595554183,0.708,192,258,"Validation","Slash"
"104",104,-1,289515648490000,26.264118,-81.5775,11,23.3875008,7332,623,568,730,1074,58.6333333333333,8.44666666666667,6.94159431728492,67.755183898974,0.7332,240,240,"Validation","Slash"
"106",106,-1,289516091490000,26.862978,-80.226781,11,23.3500004,7959,809,627,2305,2452,68.7666666666667,23.54,2.92126876239026,42.7809215519683,0.7959,84,138,"Validation","Slash"
"107",107,-1,374861821490000,29.494833,-81.286877,12,20.8875008,7682,531,540,790,1348,53.7,9.76,5.50204918032787,58.8127295081967,0.7682,615,630,"Calibration","Slash"
"109",109,-1,259178933011000,27.731471,-81.247735,6,22.3957996,6958,607,546,963,1460,56.6333333333333,11.2866666666667,5.0177200236267,55.8040767867691,0.6958,294,306,"Validation","Slash"
"110",110,-1,259179230011000,27.320185,-80.282427,7,23.2250004,7442,701,762,1455,1491,74.1666666666667,14.67,5.05566916609861,56.0398168598046,0.7442,12,18,"Calibration","Slash"
"111",111,-1,259178913011000,27.018843,-81.50249,7,22.6166992,7073,1030,866,1200,1466,92.0666666666667,12.8866666666667,7.14433523021211,69.0146104500776,0.7073,120,138,"Calibration","Slash"
"113",113,-1,90802139010500,26.928368,-80.28248,5,23.2416992,7797,1108,1152,2455,2561,113.733333333333,24.9033333333333,4.56699237049926,53.0041566055414,0.7797,18,18,"Validation","Slash"
"115",115,-1,43855051020000,27.758992,-81.350254,6,22.375,6966,540,413,1241,1511,45.5333333333333,13.31,3.42098672677185,45.8851695467067,0.6966,129,129,"Calibration","Slash"
"116",116,-1,43855421020000,25.407655,-80.697138,5,24.1958008,7288,1424,1353,1233,1571,137.666666666667,13.4566666666667,10.2303690859549,88.185052761952,0.7288,111,129,"Calibration","Slash"
"117",117,-1,43855444020000,26.815601,-81.28604,5,22.8332996,6978,378,473,965,1367,44.1333333333333,10.99,4.01577191386109,49.5799751289051,0.6978,24,30,"Calibration","Slash"
"118",118,-1,218218775020000,29.267118,-81.301171,7,21,7791,702,352,1659,1832,46.8666666666667,17.1666666666667,2.73009708737864,41.5933631067961,0.7791,18,42,"Calibration","Slash"
"119",119,-1,218219249020000,28.804165,-81.061537,5,21.6166992,7460,734,571,1956,1977,62.5333333333333,19.63,3.18560027169299,44.4229488877568,0.746,306,447,"Calibration","Slash"
"121",121,-1,218218534020000,29.111252,-81.215088,5,21.0874996,7809,798,530,1535,1710,61.9333333333333,15.9333333333333,3.88702928870293,48.7802259414226,0.7809,573,597,"Validation","Slash"
"128",128,-1,289516015490000,27.901477,-80.529479,5,22.5207996,6884,298,293,1159,1189,29.4666666666667,11.69,2.52067293983462,40.2924203022526,0.6884,6,6,"Calibration","Slash"
"129",129,-1,289515686490000,27.668473,-81.190579,6,22.3957996,6937,841,599,1460,1820,67.9666666666667,15.8,4.30168776371308,51.3560843881857,0.6937,558,585,"Validation","Slash"
"130",130,-1,289515482490000,26.328545,-81.533797,5,23.4083004,7320,350,321,554,1049,33.0666666666667,7.19,4.59898006490496,53.2028641631896,0.732,204,1104,"Calibration","Slash"
"131",131,-1,289516199490000,25.382516,-80.768006,6,24.2707996,7080,1120,991,1211,1539,103.4,13.2033333333333,7.83135571825297,73.2823817217874,0.708,144,168,"Validation","Slash"
"135",135,-1,374861271490000,29.239795,-81.103877,7,21.2542,7479,499,353,1403,1509,40.1666666666667,14.3833333333333,2.79258400926999,41.9815318655852,0.7479,300,306,"Validation","Slash"
"138",138,-1,374861453490000,26.572221,-81.575998,6,23.3125,7236,376,353,539,1112,36.0666666666667,7.3,4.94063926940639,55.3252511415525,0.7236,42,48,"Validation","Slash"
"139",139,-1,374861096490000,30.654508,-85.221025,13,19.2166996,9206,515,136,184,551,26.2333333333333,3.06333333333333,8.56365614798694,77.8314319912949,0.9206,111,123,"Validation","Slash"
"141",141,-1,374861711490000,30.884353,-86.306181,11,18.6499996,10017,555,168,235,461,29.7,3.10333333333333,9.5703544575725,84.0850418904404,1.0017,78,78,"Calibration","Slash"
"142",142,-1,218218864020000,30.533783,-82.252103,6,19.7749996,8401,598,144,328,1545,29.5333333333333,7.33666666666667,4.02544298046343,49.6400517946388,0.8401,12,12,"Calibration","Slash"
"143",143,-1,289515947490000,30.567731,-82.378916,6,19.7292004,8337,497,150,244,1566,26.5666666666667,6.84666666666667,3.88023369036027,48.738011684518,0.8337,48,129,"Calibration","Slash"
"144",144,-1,374861676490000,30.604443,-82.912796,6,19.4666996,8335,589,136,228,1470,28.7,6.42,4.47040498442368,52.4041557632399,0.8335,42,42,"Validation","Slash"
"145",1,-1,20333471010500,30.217986,-84.427137,7,19.5708008,9656,526,157,477,1383,28,7.79,3.59435173299101,46.9621129653402,0.9656,225,354,"Calibration","Longleaf"
"147",3,-1,20271309010500,27.517255,-82.385035,6,22.6166992,7211,604,450,1368,1734,50.1333333333333,14.9,3.36465324384787,45.535225950783,0.7211,12,12,"Calibration","Longleaf"
"148",4,-1,289515834490000,27.670665,-81.354235,12,22.3999996,6927,548,639,1061,1330,60.8666666666667,11.5066666666667,5.28968713789108,57.4935365005794,0.6927,6,12,"Validation","Longleaf"
"150",6,-1,374860903490000,30.577429,-85.099417,13,19.2749996,9203,332,100,106,571,17.7333333333333,2.61,6.79438058748404,66.8406922094508,0.9203,75,120,"Validation","Longleaf"
"152",8,-1,218219098020000,30.37141,-82.652928,6,19.8458004,8389,490,130,199,1534,25,6.44,3.88198757763975,48.7489068322981,0.8389,75,117,"Validation","Longleaf"
"153",9,-1,218217950020000,30.516932,-85.165759,6,19.3582993,9206,321,100,316,1360,17.3666666666667,6.64,2.61546184738956,40.8812489959839,0.9206,42,96,"Calibration","Longleaf"
"155",11,-1,289515800490000,29.390046,-81.796209,5,20.7332993,7859,329,165,569,1783,21.9666666666667,9.73666666666667,2.25607668606642,38.6487483738446,0.7859,36,36,"Calibration","Longleaf"
"156",12,-1,289515153490000,29.937359,-84.635256,6,20,9385,708,162,610,1542,34.4,9.20666666666667,3.73642288196959,47.8446589427951,0.9385,150,249,"Validation","Longleaf"
"157",13,-1,289514949490000,30.399563,-84.482698,5,19.3792,9702,555,141,335,1407,27.9,6.92333333333333,4.02985074626866,49.6674328358209,0.9702,84,84,"Validation","Longleaf"
"158",14,-1,289514998490000,30.147477,-84.991462,5,19.7000008,9744,463,146,578,1318,25.1666666666667,8.24666666666667,3.0517380759903,43.5913969280517,0.9744,165,165,"Calibration","Longleaf"
"159",15,-1,289515165490000,30.513087,-86.86226,5,19.5,9975,399,171,167,528,24.7,2.87333333333333,8.59628770301624,78.0341392111369,0.9975,54,54,"Validation","Longleaf"
"160",16,-1,289515918490000,27.975033,-81.07311,6,22.2374992,7003,716,654,646,893,67.4666666666667,7.28333333333333,9.26315789473684,82.1767368421053,0.7003,12,24,"Calibration","Longleaf"
"161",17,-1,374861301490000,30.221066,-82.477845,5,19.8666992,8428,551,143,251,1477,27.9,6.59666666666667,4.22940879231935,50.9070874178878,0.8428,12,12,"Validation","Longleaf"
"162",18,-1,374860899490000,30.808299,-85.003135,6,19.3917007,8741,554,120,184,583,26.4666666666667,3.17,8.34910620399579,76.4986477392219,0.8741,183,255,"Validation","Longleaf"
"163",19,-1,374862320490000,30.267277,-84.979594,7,19.5457993,9554,383,156,326,1452,23.1666666666667,7.01333333333333,3.3032319391635,45.1536768060837,0.9554,318,330,"Calibration","Longleaf"
"164",20,-1,374860942490000,30.486311,-86.736063,5,19.5832996,9929,405,122,162,414,21.6333333333333,2.46,8.7940379403794,79.2625636856368,0.9929,42,42,"Calibration","Longleaf"
"165",21,-1,374861009490000,30.940439,-86.994746,5,18.6417007,10524,381,133,108,429,21.5666666666667,2.15,10.031007751938,86.9466201550388,1.0524,81,168,"Calibration","Longleaf"
"167",23,-1,374861881490000,28.01776,-80.889423,5,22.1833,7076,632,412,801,1310,48.5333333333333,9.70666666666667,5,55.694,0.7076,18,18,"Calibration","Longleaf"
"169",2,-1,374860910490000,30.66734,-84.194805,12,19.2416992,9085,297,135,97,547,18.9,2.47,7.65182186234818,72.1671174089069,0.9085,36,36,"Validation","Loblolly"
"170",3,-1,259178136011000,30.471115,-85.231998,7,19.3582993,9459,751,142,360,1228,34.5,6.49333333333333,5.31314168377823,57.6392361396304,0.9459,6,381,"Calibration","Loblolly"
"171",4,-1,43854921020000,30.586785,-81.841223,6,20.0792007,8204,680,235,539,1266,38.3333333333333,7.81333333333333,4.9061433447099,55.1109624573379,0.8204,375,1164,"Validation","Loblolly"
"172",5,-1,43854902020000,29.953301,-83.398123,6,19.9582996,8995,751,176,942,1675,36.7666666666667,11.8633333333333,3.09918516437201,43.886138241079,0.8995,654,795,"Calibration","Loblolly"
"173",6,-1,218218359020000,29.138951,-81.934402,5,20.8957996,7702,585,326,1860,2029,41.2333333333333,19.1633333333333,2.15167855279179,38.0002271699426,0.7702,6,81,"Validation","Loblolly"
"174",7,-1,289515438490000,29.774428,-82.111351,7,20.2583008,8076,502,147,716,1659,26.5333333333333,10.3033333333333,2.57521837593012,40.6312565512779,0.8076,75,195,"Validation","Loblolly"
"175",8,-1,374861569490000,29.564131,-82.128549,6,20.4750004,7946,446,141,865,1779,24.2666666666667,11.6966666666667,2.07466514676546,37.521819891707,0.7946,210,444,"Calibration","Loblolly"
"177",10,-1,374861151490000,30.857073,-86.444522,5,18.6583004,10076,489,140,176,576,25.6333333333333,3.09333333333333,8.28663793103448,76.1105948275862,1.0076,768,801,"Calibration","Loblolly"
