field_1,CN,PLT_CN,PREV_SIT_C,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,CONDID,TREE,SPCD,DIA,HT,AGEDIA,SPGRPCD,SITREE,SIBASE,SUBP,AZIMUTH,DIST,METHOD,SITREE_EST,VALIDCD,CREATED_BY,CREATED_DA,CREATED_IN,MODIFIED_B,MODIFIED_D,MODIFIED_I,CYCLE,SUBCYCLE,AGECHKCD_R,AGE_DETERM,CCLCD_RMRS,DAMAGE_AGE,SIBASE_AGE,SITETRCD_R,SITE_AGE_T,SITE_TREE_,SITREE_EQU,TREECLCD_R,TREE_ACT_R,YEAR_AGE_T,LAT,LON,TEMP,TOT_N,SOC,CN_RATIO,SOIL_MOIS
11,-2147483648,-2147483648,NA,2002,12,1,7,9,2,1,131,15.4,75,19,2,110,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.057265,-82.166451,20.07779,15,26,1.733333333,247.17
12,-2147483648,-2147483648,NA,2002,12,1,7,11,1,1,131,7.4,52,17,2,82,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.885029,-82.167102,20.18664,3,17,5.666666667,247.17
13,-2147483648,-2147483648,NA,2002,12,1,7,17,2,1,611,14.1,78,40,34,82,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.926136,-82.360866,20.27419,12,16,1.333333333,247.17
14,-2147483648,-2147483648,NA,2002,12,1,7,21,1,1,131,11.8,69,21,2,96,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.901926,-82.227269,20.18664,57,41,0.719298246,247.17
15,-2147483648,-2147483648,NA,2002,12,1,19,31,1,1,121,12.2,76,56,1,70,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.145254,-81.988313,20.28551,10,18,1.8,247.17
16,-2147483648,-2147483648,NA,2002,12,1,19,40,1,1,611,14.9,69,52,34,63,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.064688,-81.725055,20.58432,7,24,3.428571429,247.17
17,-2147483648,-2147483648,NA,2002,12,1,23,6,1,1,131,13.7,79,25,2,100,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.223223,-82.629804,19.84337,11,13,1.181818182,247.17
18,-2147483648,-2147483648,NA,2002,12,1,23,6,2,1,131,13.7,79,25,2,100,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.223223,-82.629804,19.84337,11,13,1.181818182,247.17
19,-2147483648,-2147483648,NA,2002,12,1,23,41,1,1,111,9,56,22,1,73,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.525723,-82.551311,19.57081,19,29,1.526315789,247.17
20,-2147483648,-2147483648,NA,2002,12,1,23,41,2,1,111,9,56,22,1,73,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.525723,-82.551311,19.57081,19,29,1.526315789,247.17
21,-2147483648,-2147483648,NA,2002,12,1,23,87,1,1,121,13.7,80,87,1,68,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.24141,-82.524132,19.84337,79,81,1.025316456,321.77301
22,-2147483648,-2147483648,NA,2002,12,1,29,39,1,1,111,10,59,35,1,65,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.585302,-83.199856,20.27306,54,86,1.592592593,256.44699
23,-2147483648,-2147483648,NA,2002,12,1,29,43,1,1,131,9,60,22,2,81,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.434894,-83.136996,20.47845,44,60,1.363636364,256.44699
24,-2147483648,-2147483648,NA,2002,12,1,29,57,1,1,111,9,57,24,1,72,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.531779,-83.217579,20.27306,10,22,2.2,256.44699
25,-2147483648,-2147483648,NA,2002,12,1,31,1,1,1,111,14.6,71,44,1,72,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.524366,-81.709322,20.01019,9,25,2.777777778,250.097
26,-2147483648,-2147483648,NA,2002,12,1,31,1,2,1,111,14.6,71,44,1,72,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.524366,-81.709322,20.01019,9,25,2.777777778,250.097
27,-2147483648,-2147483648,NA,2002,12,1,31,10,1,1,111,7.6,53,25,1,66,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.381015,-81.902588,19.98954,13,19,1.461538462,321.77301
28,-2147483648,-2147483648,NA,2002,12,1,31,42,2,1,111,10.3,59,22,1,76,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.455317,-81.710191,20.36223,,,#DIV/0!,250.097
29,-2147483648,-2147483648,NA,2002,12,1,35,6,2,1,111,12.4,49,19,1,70,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.508511,-81.232715,21.01716,48,7,0.145833333,321.77301
30,-2147483648,-2147483648,NA,2002,12,1,35,10,1,1,111,8.6,52,21,1,70,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.276588,-81.176303,21.12932,44,72,1.636363636,321.77301
31,-2147483648,-2147483648,NA,2002,12,1,35,15,1,1,111,11.2,60,27,1,72,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.594566,-81.511336,20.82466,13,24,1.846153846,321.77301
32,-2147483648,-2147483648,NA,2002,12,1,35,30,1,1,111,9.6,49,15,1,77,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.513418,-81.497804,20.78202,139,303,2.179856115,321.77301
33,-2147483648,-2147483648,NA,2002,12,1,35,33,1,1,131,14.6,55,15,2,94,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.383666,-81.28597,21.06447,61,58,0.950819672,321.77301
34,-2147483648,-2147483648,NA,2002,12,1,41,8,1,1,111,10.4,71,25,1,85,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.672424,-82.734722,20.37957,15,16,1.066666667,267.04999
35,-2147483648,-2147483648,NA,2002,12,1,41,19,1,1,111,9.4,61,34,1,67,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.76196,-82.829575,20.37957,14,12,0.857142857,267.04999
36,-2147483648,-2147483648,NA,2002,12,1,47,10,1,1,131,10.2,57,21,2,79,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.62879,-83.26407,19.67109,9,12,1.333333333,267.04999
37,-2147483648,-2147483648,NA,2002,12,1,47,11,1,1,131,10.3,40,17,2,63,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.463967,-82.735083,19.84827,27,19,0.703703704,247.17
38,-2147483648,-2147483648,NA,2002,12,1,47,21,1,1,827,5.8,41,18,28,83,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.422224,-83.164313,19.84455,12,11,0.916666667,267.04999
39,-2147483648,-2147483648,NA,2002,12,1,47,21,2,1,827,5.8,41,18,28,83,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.422224,-83.164313,19.84455,12,11,0.916666667,267.04999
40,-2147483648,-2147483648,NA,2002,12,1,67,3,1,1,111,8.4,64,19,1,86,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.835958,-82.966287,20.26093,0,17,#DIV/0!,267.04999
41,-2147483648,-2147483648,NA,2002,12,1,67,26,1,1,131,6.9,52,15,2,89,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.915749,-83.238904,19.96578,15,21,1.4,321.77301
42,-2147483648,-2147483648,NA,2002,12,1,67,26,2,1,131,6.9,52,15,2,89,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.915749,-83.238904,19.96578,15,21,1.4,321.77301
43,-2147483648,-2147483648,NA,2002,12,1,67,29,2,1,111,9.3,68,23,1,85,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.906902,-82.946702,20.26093,7,16,2.285714286,267.04999
44,-2147483648,-2147483648,NA,2002,12,1,67,30,1,1,111,6.4,42,15,1,69,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.214107,-83.288668,19.90672,6,20,3.333333333,321.77301
45,-2147483648,-2147483648,NA,2002,12,1,75,19,1,1,131,15,85,41,2,89,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.047361,-82.699275,20.96572,16,48,3,256.44699
46,-2147483648,-2147483648,NA,2002,12,1,75,25,1,1,611,12.8,81,52,34,74,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.226934,-82.624756,20.94223,59,113,1.915254237,267.04999
47,-2147483648,-2147483648,NA,2002,12,1,75,35,1,1,131,16.3,60,18,2,91,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.272882,-82.879453,20.68137,35,63,1.8,256.44699
48,-2147483648,-2147483648,NA,2002,12,1,75,72,1,1,131,12.6,66,22,2,89,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.221858,-82.899529,20.68137,40,28,0.7,256.44699
49,-2147483648,-2147483648,NA,2002,12,1,75,84,1,1,131,10.6,63,20,2,90,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.360451,-82.426665,20.79311,15,28,1.866666667,267.04999
50,-2147483648,-2147483648,NA,2002,12,1,79,8,1,1,111,12.2,62,27,1,74,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.295178,-83.383444,19.62742,88,193,2.193181818,321.77301
51,-2147483648,-2147483648,NA,2002,12,1,79,10,1,1,131,9.7,50,17,2,78,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.546516,-83.590497,19.45204,103,155,1.504854369,237.524
52,-2147483648,-2147483648,NA,2002,12,1,79,18,1,1,131,15.9,71,56,2,68,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.371379,-83.625398,19.55025,9,14,1.555555556,237.524
53,-2147483648,-2147483648,NA,2002,12,1,79,20,1,1,131,7.2,48,15,2,82,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.3633,-83.212568,19.87279,8,12,1.5,267.04999
54,-2147483648,-2147483648,NA,2002,12,1,79,29,1,1,131,10,68,27,2,83,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.308809,-83.23655,19.90672,16,20,1.25,321.77301
55,-2147483648,-2147483648,NA,2002,12,1,79,38,1,1,111,6.3,51,16,1,77,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.517816,-83.281229,19.67109,10,17,1.7,267.04999
56,-2147483648,-2147483648,NA,2002,12,1,79,41,1,1,131,8.7,48,17,2,75,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.377703,-83.350908,19.66632,14,18,1.285714286,267.04999
57,-2147483648,-2147483648,NA,2002,12,1,83,3,1,1,131,8.3,46,18,2,70,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.080183,-82.19141,21.20897,7,9,1.285714286,267.04999
58,-2147483648,-2147483648,NA,2002,12,1,83,4,1,1,121,20.2,73,70,1,64,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.432857,-81.810193,20.85531,9,11,1.222222222,247.17
59,-2147483648,-2147483648,NA,2002,12,1,83,31,1,1,107,10.8,59,53,3,56,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.219804,-81.767171,20.85199,10,57,5.7,262.88599
60,-2147483648,-2147483648,NA,2002,12,1,83,40,3,1,107,9.2,57,20,3,101,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.202564,-81.931361,20.81847,12,16,1.333333333,262.88599
61,-2147483648,-2147483648,NA,2002,12,1,83,42,1,1,111,8.6,42,15,1,69,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.988181,-81.868973,21.54789,3,12,4,262.88599
62,-2147483648,-2147483648,NA,2002,12,1,83,58,1,1,111,14.3,91,60,1,87,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.042864,-81.836044,21.20464,8,30,3.75,262.88599
63,-2147483648,-2147483648,NA,2002,12,1,83,60,1,1,107,9.5,50,37,3,56,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.284839,-81.869484,20.81847,10,19,1.9,247.17
64,-2147483648,-2147483648,NA,2002,12,1,83,60,1,2,111,16.1,72,48,1,72,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.284839,-81.869484,20.81847,10,19,1.9,247.17
65,-2147483648,-2147483648,NA,2002,12,1,83,60,2,1,107,9.5,50,37,3,56,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.284839,-81.869484,20.81847,10,19,1.9,247.17
66,-2147483648,-2147483648,NA,2002,12,1,83,90,1,1,107,11.2,61,38,3,68,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.136,-81.644002,21.11617,8,18,2.25,262.88599
67,-2147483648,-2147483648,NA,2002,12,1,83,95,1,1,111,9.7,55,30,1,64,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.153186,-82.512956,21.10983,4,11,2.75,267.04999
68,-2147483648,-2147483648,NA,2002,12,1,83,99,1,1,131,16.3,72,67,2,66,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.212306,-82.047999,21.05234,11,10,0.909090909,247.17
69,-2147483648,-2147483648,NA,2002,12,1,83,178,1,1,107,13,49,32,3,60,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.034553,-81.666795,20.9724,16,25,1.5625,262.88599
70,-2147483648,-2147483648,NA,2002,12,1,83,179,1,1,107,9.8,44,23,3,69,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.149923,-81.788071,20.9724,8,57,7.125,262.88599
71,-2147483648,-2147483648,NA,2002,12,1,83,180,1,1,107,10.5,59,30,3,76,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.300894,-81.731244,20.85199,9,18,2,262.88599
72,-2147483648,-2147483648,NA,2002,12,1,83,181,2,1,107,7.6,55,21,3,93,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.044673,-81.672213,20.9724,9,18,2,262.88599
73,-2147483648,-2147483648,NA,2002,12,1,83,182,1,1,107,5.9,40,17,3,83,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.193106,-81.757932,20.85199,5,18,3.6,262.88599
74,-2147483648,-2147483648,NA,2002,12,1,83,183,1,1,107,12.7,59,27,3,82,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.138424,-81.6666,21.11617,8,10,1.25,262.88599
75,-2147483648,-2147483648,NA,2002,12,1,83,184,1,1,107,7.9,62,28,3,84,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.265822,-81.744436,20.85199,13,19,1.461538462,262.88599
76,-2147483648,-2147483648,NA,2002,12,1,83,185,1,1,107,6.6,42,17,3,87,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.054212,-81.668865,20.9724,16,18,1.125,262.88599
77,-2147483648,-2147483648,NA,2002,12,1,83,187,1,1,107,7.9,50,27,3,69,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.210422,-81.744614,20.85199,8,36,4.5,262.88599
78,-2147483648,-2147483648,NA,2002,12,1,83,189,1,1,107,7.9,51,20,3,90,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.205194,-81.786108,20.85199,14,45,3.214285714,262.88599
79,-2147483648,-2147483648,NA,2002,12,1,89,4,1,1,111,10.2,61,21,1,80,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.684796,-81.774357,19.83344,13,18,1.384615385,250.097
80,-2147483648,-2147483648,NA,2002,12,1,89,7,1,1,131,15.5,71,21,2,98,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.683372,-81.625904,20.05333,22,19,0.863636364,321.77301
81,-2147483648,-2147483648,NA,2002,12,1,89,7,2,1,131,15.5,71,21,2,98,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.683372,-81.625904,20.05333,22,19,0.863636364,321.77301
82,-2147483648,-2147483648,NA,2002,12,1,89,11,1,1,111,9.9,58,27,1,70,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.499063,-81.837548,19.98954,14,21,1.5,250.097
83,-2147483648,-2147483648,NA,2002,12,1,89,11,2,1,111,9.9,58,27,1,70,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.499063,-81.837548,19.98954,14,21,1.5,250.097
