"","field_1","CN","PLT_CN","PREV_SIT_C","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","CONDID","TREE","SPCD","DIA","HT","AGEDIA","SPGRPCD","SITREE","SIBASE","SUBP","AZIMUTH","DIST","METHOD","SITREE_EST","VALIDCD","CREATED_BY","CREATED_DA","CREATED_IN","MODIFIED_B","MODIFIED_D","MODIFIED_I","CYCLE","SUBCYCLE","AGECHKCD_R","AGE_DETERM","CCLCD_RMRS","DAMAGE_AGE","SIBASE_AGE","SITETRCD_R","SITE_AGE_T","SITE_TREE_","SITREE_EQU","TREECLCD_R","TREE_ACT_R","YEAR_AGE_T","LAT","LON","AVG_TEMP_bioclim","SOIL_MOIS","FIA_avg_soil_c","FIA_avg_soil_n","FIA_CN_RATIO","SOC_ORNL_kgperm2","N_ORNL_gperm2","Soilgrids_N_0.5","Soilgrids_N_5.15","Soilgrids_C_0.5","Soilgrids_C_5.15","precip_1","aridity_1","SOC_0_5_1","SOC_5_15_1","Nitrogen_0_5_1","Nitrogen_5_15_1","ORNL_CN","SOILGRIDS_C_AVG","SOILGRIDS_N_AVG","SOILGRIDS_CN","SOILGRIDS_CN_SCALE","logDIA","logAVG_TEMP","logSOILGRIDS_CN_SCALE","logAGEDIA","logprecip"
"135",135,2.05e+14,2.03e+13,NA,2002,12,2,13,38,1,2,"121",15,75,49,1,72,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.214398,-85.133609,19.60155,321.773,NA,NA,NA,7.234200001,1898.18994,1134,605,412,193,1575,0.9923,481,158,1130,382,3.81110438347387,26.5666666666667,6.31333333333333,4.20802534318902,50.5688532206969,1.17609125905568,1.29229041471521,1.7038831049956,1.69019608002851,3.19728055812562
"140",140,2.05e+14,2.04e+13,NA,2002,12,2,33,51,1,1,"121",11.5,77,44,1,76,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.774078,-87.523263,18.9957,240.528,NA,NA,NA,10.04090023,1153.23999,759,270,386,139,1682,1.0686,297,122,734,186,8.70668752130248,18.0333333333333,3.68666666666667,4.89150090415913,53.9459059674503,1.06069784035361,1.27865530213059,1.7319584910354,1.64345267648619,3.22582599146189
"163",163,2.05e+14,2.03e+13,NA,2002,12,2,63,3,1,1,"121",8.4,47,30,1,54,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.685486,-85.127195,19.223,237.524,NA,NA,NA,7.234200001,796.36499,1121,229,289,110,1433,0.8996,363,122,991,186,9.08402565637648,20.2333333333333,4.54333333333333,4.4534115920763,51.781306676449,0.924279286061882,1.28382116594306,1.71417300545017,1.47712125471966,3.15624619039734
"165",165,2.05e+14,2.03e+13,NA,2002,12,2,63,14,1,1,"121",17.6,69,114,1,56,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.615413,-84.994508,19.26324,237.524,NA,NA,NA,7.234200001,796.36499,793,173,574,133,1468,0.8997,581,136,964,244,9.08402565637648,28.4333333333333,4.84,5.87465564738292,58.803673553719,1.24551266781415,1.28472933552887,1.76940445795155,2.05690485133647,3.16672605558005
"168",168,2.05e+14,2.03e+13,NA,2002,12,2,63,46,1,1,"121",13.7,74,45,1,73,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.743944,-84.935509,19.33848,262.886,NA,NA,NA,7.234200001,558.97198,479,151,615,354,1426,0.8938,717,459,446,161,12.9419725135417,54.5,2.56,21.2890625,134.9662578125,1.13672056715641,1.28642233564384,2.13022520643963,1.65321251377534,3.15411952551585
"190",190,2.05e+14,2.03e+13,NA,2002,12,2,73,32,1,1,"121",11.3,69,43,1,69,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.371975,-84.498433,19.53861,253.076,NA,NA,NA,7.936860085,638.43597,998,302,518,182,1559,0.9707,714,188,1432,332,12.4317244922776,36.3333333333333,6.98666666666667,5.20038167938931,55.4720858778626,1.05307844348342,1.2908936642547,1.74407449665608,1.63346845557959,3.19284611518884
"191",191,2.05e+14,2.03e+13,NA,2002,12,2,73,32,1,2,"121",10.6,68,58,1,63,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.371975,-84.498433,19.53861,253.076,NA,NA,NA,7.936860085,638.43597,998,302,518,182,1559,0.9707,714,188,1432,332,12.4317244922776,36.3333333333333,6.98666666666667,5.20038167938931,55.4720858778626,1.02530586526477,1.2908936642547,1.74407449665608,1.76342799356294,3.19284611518884
"216",216,2.05e+14,1.37e+14,NA,2002,12,2,77,99,1,1,"121",10.2,70,60,1,64,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.070541,-84.926212,19.69373,321.773,NA,NA,NA,23.9673996,1898.18994,1255,519,611,187,1568,0.9689,620,182,1347,603,12.6264495954499,32.8,8.51,3.85428907168038,48.8210423031727,1.00860017176192,1.29432797946982,1.68860704713533,1.77815125038364,3.19534605834842
"217",217,2.05e+14,1.37e+14,NA,2002,12,2,77,99,1,2,"121",7.2,63,42,1,63,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.070541,-84.926212,19.69373,321.773,NA,NA,NA,23.9673996,1898.18994,1255,519,611,187,1568,0.9689,620,182,1347,603,12.6264495954499,32.8,8.51,3.85428907168038,48.8210423031727,0.857332496431269,1.29432797946982,1.68860704713533,1.6232492903979,3.19534605834842
"218",218,2.05e+14,1.37e+14,NA,2002,12,2,77,100,1,1,"121",12.5,69,68,1,61,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.062193,-85.049433,19.75617,321.773,NA,NA,NA,23.9673996,1898.18994,1251,489,628,140,1617,0.9924,718,166,1249,572,12.6264495954499,35,7.97666666666667,4.3877977434183,51.4571086502298,1.09691001300806,1.2957027545691,1.71144537976534,1.83250891270624,3.2087100199064
"219",219,2.05e+14,1.37e+14,NA,2002,12,2,77,100,1,2,"121",11.5,71,75,1,62,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.062193,-85.049433,19.75617,321.773,NA,NA,NA,23.9673996,1898.18994,1251,489,628,140,1617,0.9924,718,166,1249,572,12.6264495954499,35,7.97666666666667,4.3877977434183,51.4571086502298,1.06069784035361,1.2957027545691,1.71144537976534,1.8750612633917,3.2087100199064
"221",221,2.05e+14,1.73e+14,NA,2002,12,2,77,103,1,1,"121",11.7,69,59,1,63,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.051864,-84.776319,19.67214,321.773,NA,NA,NA,23.9673996,1898.18994,1204,493,720,242,1553,0.9564,672,232,1201,555,12.6264495954499,37.8666666666667,7.70333333333333,4.91562094331458,54.0650830809173,1.06818586174616,1.29385160646933,1.73291687470003,1.77085201164214,3.19117145572856
"227",227,2.05e+14,1.73e+14,NA,2002,12,2,77,109,1,1,"121",12.3,77,50,1,74,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.284712,-85.019851,19.60155,237.524,NA,NA,NA,7.234200001,796.36499,1318,541,795,249,1575,0.9542,695,184,1401,555,9.08402565637648,35.4333333333333,8.37,4.23337315810434,50.6940967741935,1.0899051114394,1.29229041471521,1.70495738955703,1.69897000433602,3.19728055812562
"232",232,2.05e+14,2.03e+13,NA,2002,12,2,91,14,1,1,"121",8.9,60,69,1,53,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.501864,-86.618089,19.19482,253.076,NA,NA,NA,7.936860085,638.43597,642,267,649,179,1624,1.011,887,166,716,260,12.4317244922776,40.6333333333333,4.12,9.86245954692557,78.5074126213592,0.949390006644913,1.283184043863,1.89491066449771,1.83884909073726,3.21058602490516
"233",233,2.05e+14,2.03e+13,NA,2002,12,2,91,29,1,1,"121",16.1,56,70,1,49,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.70765,-86.673724,18.99092,253.076,NA,NA,NA,7.936860085,638.43597,452,239,632,115,1613,1.0158,531,119,536,159,12.4317244922776,25.6333333333333,2.84666666666667,9.00468384074941,74.2691428571429,1.20682587603185,1.27854600429706,1.87080841173624,1.84509804001426,3.20763436738896
"234",234,2.05e+14,2.03e+13,NA,2002,12,2,91,31,1,1,"121",11.6,94,89,1,79,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.880461,-86.512309,18.78581,237.524,NA,NA,NA,7.234200001,796.36499,520,120,389,129,1591,1.0141,348,118,361,102,9.08402565637648,19.4666666666667,1.88333333333333,10.3362831858407,80.8485752212389,1.06445798922692,1.27382992556104,1.90767237082243,1.94939000664491,3.20167017964658
"235",235,2.05e+14,2.03e+13,NA,2002,12,2,91,32,1,1,"121",14.7,59,84,1,50,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.643055,-86.724035,19.36376,253.076,NA,NA,NA,7.936860085,638.43597,602,277,664,134,1618,1.0154,543,129,629,187,12.4317244922776,26.7,3.34333333333333,7.98604187437687,69.2360329012961,1.16731733474818,1.28698969123173,1.84033217563267,1.92427928606188,3.20897851727625
"236",236,2.05e+14,2.03e+13,NA,2002,12,2,91,38,1,1,"121",10.8,66,34,1,72,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.872135,-86.773676,18.79573,237.524,NA,NA,NA,7.234200001,796.36499,496,163,483,110,1612,1.034,488,141,481,129,9.08402565637648,25.6666666666667,2.46333333333333,10.4194857916103,81.2596792963464,1.03342375548695,1.27405919777077,1.90987510398471,1.53147891704226,3.20736503746907
"237",237,2.05e+14,2.03e+13,NA,2002,12,2,91,42,1,1,"121",14.8,62,120,1,50,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.579576,-86.58249,19.19482,253.076,NA,NA,NA,7.936860085,638.43597,530,235,549,240,1624,1.0158,982,163,749,314,12.4317244922776,43.6,4.59,9.49891067538126,76.7111176470588,1.17026171539496,1.283184043863,1.88485831027063,2.07918124604762,3.21058602490516
"240",240,2.05e+14,2.03e+13,NA,2002,12,2,91,49,1,1,"121",10.1,75,37,1,79,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.959076,-86.741112,18.79573,237.524,NA,NA,NA,7.234200001,796.36499,516,118,457,145,1612,1.0183,400,180,491,109,9.08402565637648,25.3333333333333,2.36333333333333,10.7193229901269,82.7411748942172,1.00432137378264,1.27405919777077,1.91772168342501,1.56820172406699,3.20736503746907
"241",241,2.05e+14,2.03e+13,NA,2002,12,2,91,50,1,1,"121",13,59,46,1,58,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.638085,-86.39896,19.1684,253.076,NA,NA,NA,7.936860085,638.43597,678,218,431,214,1626,1.0277,320,163,434,163,12.4317244922776,21.5333333333333,2.53333333333333,8.5,71.7755,1.11394335230684,1.28258586352121,1.85597622654625,1.66275783168157,3.21112054125805
"244",244,2.05e+14,2.03e+13,NA,2002,12,2,113,2,1,1,"121",7,39,20,1,55,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.478107,-86.896242,19.55203,253.076,NA,NA,NA,7.936860085,638.43597,724,362,514,156,1611,0.9982,570,128,710,261,12.4317244922776,27.5333333333333,4.10666666666667,6.70454545454546,62.9041590909091,0.845098040014257,1.29119185493032,1.79867936103377,1.30102999566398,3.20709554041922
"245",245,2.05e+14,2.03e+13,NA,2002,12,2,113,7,1,1,"121",10.6,75,22,1,100,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.776722,-86.955135,19.04012,237.524,NA,NA,NA,7.234200001,796.36499,650,207,318,140,1611,1.0243,259,121,622,141,9.08402565637648,16.7,3.01333333333333,5.54203539823009,57.1601969026549,1.02530586526477,1.27966968118993,1.75709371615793,1.34242268082221,3.20709554041922
"247",247,2.05e+14,2.03e+13,NA,2002,12,2,113,71,1,1,"121",13.5,80,56,1,74,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.850109,-87.006298,18.83518,237.524,NA,NA,NA,7.234200001,796.36499,506,185,423,149,1662,1.0371,460,120,528,163,9.08402565637648,23.3333333333333,2.84666666666667,8.19672131147541,70.277,1.13033376849501,1.27496977493128,1.84681321396079,1.7481880270062,3.22063101944809
"248",248,2.05e+14,2.03e+13,NA,2002,12,2,113,71,2,1,"121",13.5,80,56,1,74,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.850109,-87.006298,18.83518,237.524,NA,NA,NA,7.234200001,796.36499,506,185,423,149,1662,1.0371,460,120,528,163,9.08402565637648,23.3333333333333,2.84666666666667,8.19672131147541,70.277,1.13033376849501,1.27496977493128,1.84681321396079,1.7481880270062,3.22063101944809
"250",250,2.05e+14,2.03e+13,NA,2002,12,2,129,31,1,1,"121",10.1,59,60,1,54,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.29652,-84.661629,19.54474,253.076,NA,NA,NA,7.936860085,638.43597,994,375,769,159,1556,0.952,584,153,1283,360,12.4317244922776,29.6666666666667,6.67666666666667,4.44333499750374,51.731518222666,1.00432137378264,1.29102989746889,1.71375522432152,1.77815125038364,3.19200959265367
"251",251,2.05e+14,2.03e+13,NA,2002,12,2,129,47,1,1,"121",7.3,46,18,1,70,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.292395,-84.518251,19.54474,253.076,NA,NA,NA,7.936860085,638.43597,1055,335,625,197,1556,0.9674,567,159,1442,378,12.4317244922776,29.5,7.32666666666667,4.02638762511374,49.671381255687,0.863322860120456,1.29102989746889,1.69610623697091,1.25527250510331,3.19200959265367
"252",252,2.05e+14,2.03e+13,NA,2002,12,2,129,47,1,2,"121",7.4,41,19,1,60,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.292395,-84.518251,19.54474,253.076,NA,NA,NA,7.936860085,638.43597,1055,335,625,197,1556,0.9674,567,159,1442,378,12.4317244922776,29.5,7.32666666666667,4.02638762511374,49.671381255687,0.869231719730976,1.29102989746889,1.69610623697091,1.27875360095283,3.19200959265367
"253",253,2.05e+14,1.37e+14,NA,2002,12,2,129,82,1,1,"121",15.7,85,59,1,78,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.298156,-84.399682,19.62478,321.773,NA,NA,NA,23.9673996,1898.18994,1152,293,527,170,1569,0.9722,552,184,1545,352,12.6264495954499,30.6666666666667,7.49666666666667,4.09070698088039,49.98918319253,1.19589965240923,1.29280479686587,1.69887604057585,1.77085201164214,3.19562294358694
"254",254,2.05e+14,1.37e+14,NA,2002,12,2,129,82,1,2,"121",13.6,82,65,1,73,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.298156,-84.399682,19.62478,321.773,NA,NA,NA,23.9673996,1898.18994,1152,293,527,170,1569,0.9722,552,184,1545,352,12.6264495954499,30.6666666666667,7.49666666666667,4.09070698088039,49.98918319253,1.13353890837022,1.29280479686587,1.69887604057585,1.81291335664286,3.19562294358694
"255",255,2.05e+14,1.37e+14,NA,2002,12,2,129,83,1,1,"121",13,70,58,1,64,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.233006,-84.550796,19.54474,253.076,NA,NA,NA,7.936860085,638.43597,1154,417,639,150,1556,0.962,761,175,1385,457,12.4317244922776,37.0333333333333,7.66333333333333,4.83253588516746,53.6545598086124,1.11394335230684,1.29102989746889,1.72960663619142,1.76342799356294,3.19200959265367
"257",257,2.05e+14,2.03e+13,NA,2002,12,2,131,14,1,1,"121",15.9,62,53,1,58,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.655496,-86.296661,19.19602,253.076,NA,NA,NA,7.936860085,638.43597,735,237,368,180,1632,1.0126,344,121,418,164,12.4317244922776,19.5333333333333,2.48666666666667,7.85522788203753,68.5896809651475,1.20139712432045,1.2832111937445,1.83625878280603,1.72427586960079,3.21272015441784
"260",260,2.05e+14,2.03e+13,NA,2002,12,2,131,44,1,1,"121",9.3,53,37,1,56,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.365134,-86.113336,19.45434,253.076,NA,NA,NA,7.936860085,638.43597,896,529,544,414,1623,1.0145,480,208,970,521,12.4317244922776,29.8666666666667,6.70666666666667,4.45328031809145,51.7806580516899,0.968482948553935,1.28901650169231,1.71416756534184,1.56820172406699,3.21031851982623
"264",264,2.05e+14,2.03e+13,NA,2002,12,2,131,68,1,1,"121",15.3,54,50,1,52,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.88878,-86.049937,18.80516,237.524,NA,NA,NA,7.234200001,796.36499,511,143,420,197,1526,0.982,378,160,497,94,9.08402565637648,23.2666666666667,2.28333333333333,10.1897810218978,80.1247080291971,1.1846914308176,1.2742770328832,1.90376645998036,1.69897000433602,3.18355453361886
"270",270,2.05e+14,2.03e+13,NA,2002,12,3,17,8,1,1,"121",14.7,61,77,1,53,50,NA,NA,NA,1,NA,1,NA,"12/7/2009",10854,NA,"3/8/2017",489998,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.742649,-82.389093,21.4514,256.447,NA,NA,NA,8.796859741,1509.02002,1383,508,295,139,1334,0.7738,327,230,1290,535,5.8295182465505,26.2333333333333,7.86666666666667,3.33474576271186,46.2539788135593,1.16731733474818,1.33145564115634,1.66514909712803,1.88649072517248,3.12515582958053
