"","OID","PLT_CN","LAT","LON","TIME_INT","X30s_NAD","ai_NAD","SOC5_15NAD","SOC0_5_NAD","N5_15_NAD","N0_5_NAD","SOILGRIDS_C_AVG","SOILGRIDS_N_AVG","SOILGRIDS_CN","SOILGRIDS_CN_SCALE","aridity","TPA_start","TPA_end"
"12",-1,20296619010500,30.062982,-85.319212,6,19.7166996,10091,221,665,700,1295,36.9,8.98333333333333,4.10760667903525,50.150452690167,1.0091,300,249
"13",-1,137163252010000,29.982011,-85.237742,5,19.7875004,10055,180,678,676,1265,34.6,8.72333333333333,3.96637371035537,49.2731134887275,1.0055,390,399
"14",-1,218218022020000,30.140161,-85.017075,12,19.75,9800,173,575,631,1405,30.7,8.89,3.4533183352081,46.0860134983127,0.98,636,732
"15",-1,218218142020000,30.158232,-84.736622,12,19.6417007,9597,188,687,529,1433,35.4333333333333,8.30333333333333,4.26736250501807,51.1428558811722,0.9597,66,60
"16",-1,259178155011000,30.068747,-84.951363,10,19.7875004,9687,184,693,585,1268,35.3666666666667,8.12666666666667,4.35192780968007,51.6681755537326,0.9687,72,66
"17",-1,176860816011000,30.111493,-84.589655,8,19.7332993,9561,139,639,562,1320,30.5666666666667,8.14666666666667,3.75204582651391,47.9417086743044,0.9561,159,96
"18",-1,20339500010500,26.864155,-81.80287,7,23.0375004,7147,697,668,902,1261,68.7333333333333,10.2166666666667,6.72756933115824,66.425660685155,0.7147,366,348
"19",-1,20267247010500,29.989357,-83.358008,7,19.9375,8933,185,616,966,1571,32.8666666666667,11.6766666666667,2.81473023123037,42.1191041964031,NA,NA,NA
"20",-1,20279564010500,29.776255,-81.659085,8,20.5625,7712,216,553,617,1569,32.8333333333333,9.34333333333333,3.51409204423832,46.4635397788084,0.7712,111,210
"21",-1,289515527490000,30.134263,-83.451548,11,19.8792,8901,173,527,265,1770,29.1,7.66666666666667,3.79565217391304,48.2125913043478,0.8901,180,162
"22",-1,20309234010500,30.235983,-85.386023,6,19.3875008,9986,183,574,600,1301,31.3333333333333,8.33666666666667,3.75849660135946,47.9817808876449,NA,NA,NA
"23",-1,289515122490000,30.41079,-85.350145,13,19.2999992,9760,146,676,385,1073,32.2666666666667,6.14333333333333,5.25230602278893,57.2613250135648,0.976,105,36
"24",-1,289515053490000,29.781724,-84.839391,13,20.1958008,9245,247,639,550,1345,37.7666666666667,8.15,4.63394683026585,53.4200777096115,0.9245,279,405
"25",-1,20322289010500,29.923215,-85.337871,5,20.0125008,9839,186,672,647,1319,34.8,8.71,3.99540757749713,49.4534718714122,0.9839,111,147
"26",-1,43854384020000,30.024092,-84.927744,9,19.8250008,9648,145,622,620,1145,30.4,7.95,3.82389937106918,48.3880628930818,0.9648,93,228
"27",-1,289515848490000,26.976192,-82.269991,11,22.875,7013,688,704,1068,1472,69.3333333333333,12.0266666666667,5.7649667405765,60.4459733924612,0.7013,642,537
"28",-1,374861409490000,29.342185,-82.946217,11,20.5625,8922,178,693,1383,2020,34.9666666666667,15.9533333333333,2.19180944421229,38.2495202674467,0.8922,6,18
"29",-1,249673708011000,30.304966,-82.878763,6,20.0083008,8395,139,306,265,1686,19.4666666666667,7.38666666666667,2.63537906137184,41.0049747292419,0.8395,261,186
"30",-1,249673712011000,30.293482,-83.038891,6,20.1375008,8322,88,282,178,1161,15.2666666666667,5.05666666666667,3.01911667765326,43.3887528015821,0.8322,687,900
"31",-1,374861698490000,30.201872,-82.901962,13,19.9792004,8547,144,296,193,1156,19.4666666666667,5.14,3.78728923476005,48.1606407263294,0.8547,150,288
"32",-1,374861101490000,30.502684,-85.398236,13,19.1417007,9750,114,573,197,986,26.7,4.6,5.80434782608696,60.6906086956522,0.975,18,18
"33",-1,249673463011000,30.420348,-85.572496,7,19.3833008,9785,182,760,514,1107,37.4666666666667,7.11666666666667,5.26463700234192,57.337925058548,NA,NA,NA
"34",-1,249673611011000,30.217621,-84.06978,7,19.6667004,9287,136,665,516,1297,31.2333333333333,7.76333333333333,4.02318591670245,49.6260309145556,0.9287,12,111
"35",-1,374861230490000,28.353047,-81.811415,12,21.9125004,7189,307,547,1348,1792,38.7,14.96,2.58689839572193,40.7038128342246,0.7189,24,18
"36",-1,90828118010500,30.295607,-83.419014,6,19.6875,8670,205,664,524,1411,35.8,8.19666666666667,4.36762911752745,51.7657120780805,0.867,12,12
"37",-1,259178120011000,30.064243,-85.388407,8,19.8083,10040,257,686,602,1275,40,8.26333333333333,4.84066155707947,54.7041895925777,1.004,315,84
"38",-1,259178850011000,26.878383,-81.705752,8,22.8332996,7190,676,652,1159,1503,66.8,12.7366666666667,5.24470034022507,57.2140785134781,0.719,30,30
"39",-1,259178788011000,26.805476,-82.022033,5,23.0708008,7020,371,343,759,1250,36.1666666666667,9.22666666666667,3.91979768786127,48.9837832369942,0.702,12,66
"40",-1,43854984020000,29.864601,-81.705221,6,20.4207993,7873,131,263,375,1193,17.5,6.47666666666667,2.70200720535255,41.41886875965,0.7873,165,186
"41",-1,43854832020000,30.268712,-83.420286,6,19.6958008,8716,205,590,313,1387,33.3333333333333,6.71,4.96770988574267,55.4934138102335,0.8716,525,42
"42",-1,43854743020000,29.330079,-82.031324,6,20.7082996,7840,315,617,1786,2269,41.5666666666667,19.47,2.13490840609485,37.8960510186612,0.784,348,240
"43",-1,43854745020000,29.177308,-81.957028,6,20.7917004,7742,222,506,1849,2145,31.6666666666667,19.4766666666667,1.62587711791888,34.7339486565121,0.7742,150,120
"44",-1,43854459020000,30.304911,-85.841225,6,19.4500008,9939,291,703,595,1204,42.8333333333333,7.98,5.36758563074353,57.9774419381788,0.9939,315,450
"45",-1,43854490020000,30.413242,-85.802857,6,19.2292004,9954,144,508,428,1232,26.5333333333333,6.96,3.81226053639847,48.3157624521073,0.9954,87,174
"46",-1,43854437020000,29.806525,-84.748165,6,20.0583,9265,328,667,708,1188,44.1,8.68,5.08064516129032,56.1949677419355,0.9265,435,513
"47",-1,218218877020000,30.142881,-82.114692,7,19.9792004,8356,125,592,577,1715,28.0666666666667,9.56333333333333,2.93482049494597,42.8651049146044,0.8356,225,198
"48",-1,218218333020000,29.918626,-81.786154,5,20.3458004,7905,209,655,723,1537,35.7666666666667,9.94333333333333,3.59704994971505,46.9788742876299,0.7905,1119,954
"49",-1,218219294020000,29.545695,-83.072685,6,20.2292004,9010,142,624,1330,1939,30.2666666666667,15.33,1.97434224831485,36.8986140465319,0.901,36,36
"50",-1,218218844020000,30.158415,-83.295489,6,20.0042,8673,139,471,194,1602,24.9666666666667,6.63333333333333,3.76381909547739,48.0148442211055,0.8673,186,129
"51",-1,218218445020000,30.073865,-83.31094,5,19.8624992,8905,226,432,292,1189,29.4666666666667,5.91,4.98589960518895,55.6064083474337,0.8905,120,108
"52",-1,218218749020000,29.042864,-81.836044,5,21.0207996,7642,272,566,1794,2107,37,18.9833333333333,1.94907813871817,36.7416733977173,0.7642,237,162
"53",-1,218218650020000,30.221518,-82.962715,6,20.1166992,8409,125,303,190,1754,18.4333333333333,7.11333333333333,2.59137769447048,40.7316382380506,0.8409,675,882
"54",-1,218218475020000,30.228713,-83.401395,7,19.75,8774,273,940,510,1624,49.5333333333333,8.81333333333333,5.62027231467474,59.5471316187595,0.8774,168,6
"55",-1,218218048020000,30.13866,-85.447904,5,19.6749992,9956,136,688,683,1478,32,9.48,3.37552742616034,45.602776371308,0.9956,1125,831
"56",-1,218219313020000,30.206308,-85.439309,5,19.4750004,10001,147,644,666,1453,31.2666666666667,9.28333333333333,3.36804308797128,45.5562836624776,1.0001,30,30
"57",-1,218218132020000,29.784557,-84.671113,6,-9999,-9999,-9999,-9999,-9999,-9999,-999.9,-99.99,10,86.754,NA,NA,NA
"58",-1,218218058020000,29.968183,-84.789076,6,19.8416996,9538,227,707,699,1377,38.7,9.25,4.18378378378378,50.6236648648649,0.9538,6,6
"59",-1,218218371020000,28.526949,-82.024668,5,21.6082993,7430,221,506,1860,2291,31.6,20.0366666666667,1.57710863417069,34.4309988354683,0.743,276,285
"60",-1,218218423020000,26.85702,-81.659095,5,22.8208008,7209,467,492,963,1452,47.5333333333333,11.26,4.22143280047365,50.8575405565423,0.7209,204,147
"61",-1,289515959490000,30.24844,-82.233093,6,19.9249992,8374,112,484,650,1729,23.6,10.0966666666667,2.3374050841862,39.1539603829647,0.8374,24,30
"62",-1,289515364490000,29.957044,-82.031996,5,20.2374992,8192,140,353,425,1749,21.1,8.66333333333333,2.43555213543671,39.7636498653328,0.8192,147,147
"63",-1,289515544490000,29.712765,-83.287972,6,20.1457996,8987,146,773,1211,2015,35.5,14.79,2.40027045300879,39.5444800540906,0.8987,300,414
"64",-1,289515770490000,29.635033,-82.740917,5,20.4125004,8780,148,392,1122,1824,22.9333333333333,13.56,1.69124877089479,35.1400373647984,0.878,6,93
"65",-1,289515740490000,29.936876,-83.026333,6,20.1417007,8685,188,577,770,1721,31.7666666666667,10.87,2.92241643667587,42.7880509046305,0.8685,813,762
"66",-1,289515040490000,29.995211,-85.454383,6,19.9333,10032,212,618,530,1202,34.7333333333333,7.54,4.60654288240495,53.2498443854996,NA,NA,NA
"67",-1,289515155490000,29.907738,-84.54454,6,19.9500008,9426,316,485,586,1268,37.2333333333333,8.13333333333333,4.57786885245902,53.0717213114754,0.9426,240,261
"68",-1,289515089490000,30.127169,-85.250613,7,19.6958008,10180,289,747,752,1372,44.1666666666667,9.58666666666667,4.60709318497914,53.2532628650904,1.018,66,78
"69",-1,289515496490000,30.251576,-83.926927,5,19.5958004,9143,167,725,580,1588,35.3,9.16,3.85371179039301,48.5732576419214,0.9143,12,12
"70",-1,289515150490000,30.17527,-84.695749,6,19.6833,9543,157,617,560,1364,31.0333333333333,8.28,3.74798711755234,47.9164959742351,0.9543,123,108
"71",-1,289514953490000,30.238201,-84.519751,6,19.5333004,9676,171,598,407,1545,31.3333333333333,7.86333333333333,3.984739296312,49.3872005086901,0.9676,120,132
"72",-1,289515285490000,28.225528,-81.660558,5,22.1082993,7112,349,592,831,1450,43,10.3733333333333,4.1452442159383,50.3842570694087,0.7112,411,549
"73",-1,289516160490000,26.90064,-81.762238,5,22.8957996,7159,904,662,906,1332,82.3333333333333,10.48,7.85623409669211,73.4369262086514,0.7159,723,555
"74",-1,289515622490000,26.728433,-81.657791,6,23.0375004,7309,368,441,604,1069,39.2333333333333,7.59,5.16908212560386,56.7443381642512,0.7309,624,786
"75",-1,374862327490000,30.277382,-82.378479,6,19.7957993,8498,151,583,350,1551,29.5,7.50333333333333,3.93158596179476,49.057011994669,0.8498,24,225
"76",-1,374861330490000,30.266891,-81.892246,7,20.2124996,8227,147,513,569,1671,26.9,9.36333333333333,2.87290850836597,42.4805076539694,0.8227,75,189
"77",-1,374861704490000,29.960836,-83.012265,6,20.2042007,8631,161,434,699,1797,25.2,10.65,2.36619718309859,39.3328169014084,0.8631,894,1005
"78",-1,374861593490000,29.726061,-81.79894,5,20.3833008,7852,118,392,513,1710,20.9333333333333,9.12,2.2953216374269,38.8925380116959,0.7852,255,234
"79",-1,374861539490000,30.21171,-83.796139,5,19.7250004,8997,206,848,557,1729,42,9.47666666666667,4.43193809356314,52.1651994372142,0.8997,552,459
"80",-1,374861537490000,30.216548,-83.645514,5,19.7707996,8912,148,718,419,1644,33.8,8.27333333333333,4.08541498791297,50.0125979049154,0.8912,60,60
"81",-1,374860967490000,30.190868,-85.657625,6,20.0042,9725,-9999,-9999,-9999,-9999,-999.9,-99.99,10,86.754,NA,NA,NA
"82",-1,374861087490000,30.350094,-85.737042,6,19.3374996,9844,174,507,357,1117,28.5,6.10333333333333,4.66957946477335,53.641427635172,0.9844,321,279
"83",-1,374860905490000,30.50614,-85.289595,6,19.1917,9566,148,346,199,839,21.4,4.12333333333333,5.18997574777688,56.87412934519,0.9566,138,216
"84",-1,374861024490000,30.271029,-85.347552,6,19.3292007,10001,187,563,661,1370,31.2333333333333,8.97333333333333,3.48068350668648,46.2560059435364,1.0001,540,534
"85",-1,374861028490000,29.883184,-84.751176,7,20,9343,328,855,691,1342,50.3666666666667,9.08,5.54698972099853,59.0919001468429,0.9343,423,390
"86",-1,374861004490000,29.905883,-84.343006,7,20.2042007,9321,348,463,481,915,38.6333333333333,6.25666666666667,6.17474693660096,62.9915279701652,0.9321,552,579
"87",-1,374861465490000,30.297002,-84.043101,5,19.5207996,9297,174,686,566,1334,34.4666666666667,8.22,4.19302514193025,50.6810721816707,0.9297,423,528
"88",-1,374861466490000,30.207492,-83.937726,5,19.6707993,9165,233,340,424,1112,26.8666666666667,6.53333333333333,4.11224489795918,50.1792653061224,0.9165,558,492
"89",-1,374862329490000,30.11845,-84.882082,7,19.6749992,9659,174,552,568,1337,30,8.24333333333333,3.63930448847554,47.24135948241,0.9659,366,276
"90",-1,374861218490000,27.637239,-82.312047,7,22.4958,7219,489,509,1168,1711,49.5666666666667,13.49,3.67432666172473,47.458917222634,0.7219,12,12
"91",-1,374861814490000,27.018762,-82.263467,5,22.875,7061,805,908,1400,1550,83.9333333333333,14.5,5.78850574712644,60.5921977011494,0.7061,42,498
"92",-1,374862140490000,26.869891,-81.759364,5,22.9666996,7178,490,592,835,1307,52.4,9.92333333333333,5.28048370843131,57.4363647967753,0.7178,72,72
"93",-1,374861792490000,26.840036,-81.886267,6,23.0916996,7100,512,536,1233,1522,52,13.2933333333333,3.91173520561685,48.9336990972919,0.71,411,423
"94",-1,374862139490000,26.93263,-81.706853,6,22.7791996,7177,1013,777,1004,1461,93.4333333333333,11.5633333333333,8.08013836840588,74.8278195445373,0.7177,147,78
"95",-1,218218561020000,29.742877,-81.444166,14,20.7458,7518,392,760,978,1598,51.4666666666667,11.8466666666667,4.34440067529544,51.6214169949353,0.7518,24,12
"96",-1,20290570010500,28.252987,-81.122303,7,22.1166992,7121,1304,1048,1500,1615,121.866666666667,15.3833333333333,7.92199349945829,73.8454236186349,0.7121,24,24
"97",-1,218218259020000,27.736602,-81.612071,13,22.3458004,7046,507,581,1140,1582,53.1666666666667,12.8733333333333,4.12998446400829,50.2894634904195,0.7046,75,36
"98",-1,218218424020000,26.642425,-81.609652,11,23.2458,7285,294,289,674,1061,29.2333333333333,8.03,3.64051473640515,47.2488775425488,0.7285,318,315
"99",-1,289515521490000,29.219774,-81.159859,12,21.0667,7658,284,579,1229,1471,38.2333333333333,13.0966666666667,2.91931789259354,42.768802748791,0.7658,303,297
"100",-1,20264459010500,27.181201,-81.278812,7,22.5541992,6861,545,681,1434,1405,59.0333333333333,14.2433333333333,4.14462906622981,50.3804357594196,0.6861,567,474
"101",-1,289515448490000,27.203069,-81.499849,12,22.5249996,6914,565,552,1015,1362,56.0666666666667,11.3066666666667,4.95872641509434,55.437608490566,0.6914,330,336
"102",-1,289516018490000,27.727747,-80.448391,13,22.6833,7189,535,473,1213,1196,51.4333333333333,12.0733333333333,4.26007730535616,51.0976002208725,0.7189,6,6
"103",-1,289516016490000,27.756279,-80.606558,13,22.5708008,7080,530,439,1029,1181,49.9666666666667,10.7966666666667,4.62797159617166,53.3829595554183,0.708,192,258
"104",-1,289515648490000,26.264118,-81.5775,11,23.3875008,7332,568,623,730,1074,58.6333333333333,8.44666666666667,6.94159431728492,67.755183898974,0.7332,240,240
"105",-1,20268734010500,26.653727,-81.587379,5,23.2042007,7294,222,284,644,1097,24.2666666666667,7.95,3.05241090146751,43.5955765199161,0.7294,252,165
"106",-1,289516091490000,26.862978,-80.226781,11,23.3500004,7959,627,809,2305,2452,68.7666666666667,23.54,2.92126876239026,42.7809215519683,0.7959,84,138
"107",-1,374861821490000,29.494833,-81.286877,12,20.8875008,7682,540,531,790,1348,53.7,9.76,5.50204918032787,58.8127295081967,0.7682,615,630
"108",-1,374862273490000,27.001146,-80.286145,11,23.2292004,7770,962,972,2305,2397,96.5333333333333,23.3566666666667,4.13300984729556,50.3082571714,0.777,456,261
"109",-1,259178933011000,27.731471,-81.247735,6,22.3957996,6958,546,607,963,1460,56.6333333333333,11.2866666666667,5.0177200236267,55.8040767867691,0.6958,294,306
"110",-1,259179230011000,27.320185,-80.282427,7,23.2250004,7442,762,701,1455,1491,74.1666666666667,14.67,5.05566916609861,56.0398168598046,0.7442,12,18
"111",-1,259178913011000,27.018843,-81.50249,7,22.6166992,7073,866,1030,1200,1466,92.0666666666667,12.8866666666667,7.14433523021211,69.0146104500776,0.7073,120,138
"112",-1,259179239011000,26.994393,-80.138089,7,23.3999996,7774,745,800,1643,1778,76.3333333333333,16.88,4.52211690363349,52.7253902053712,0.7774,1050,984
"113",-1,90802139010500,26.928368,-80.28248,5,23.2416992,7797,1152,1108,2455,2561,113.733333333333,24.9033333333333,4.56699237049926,53.0041566055414,0.7797,18,18
"114",-1,90802279010500,26.92855,-80.42621,5,23.0832996,7625,1198,1147,2381,2515,118.1,24.2566666666667,4.86876460079703,54.8787657001512,0.7625,162,93
"115",-1,43855051020000,27.758992,-81.350254,6,22.375,6966,413,540,1241,1511,45.5333333333333,13.31,3.42098672677185,45.8851695467067,0.6966,129,129
"116",-1,43855421020000,25.407655,-80.697138,5,24.1958008,7288,1353,1424,1233,1571,137.666666666667,13.4566666666667,10.2303690859549,88.185052761952,0.7288,111,129
"117",-1,43855444020000,26.815601,-81.28604,5,22.8332996,6978,473,378,965,1367,44.1333333333333,10.99,4.01577191386109,49.5799751289051,0.6978,24,30
"118",-1,218218775020000,29.267118,-81.301171,7,21,7791,352,702,1659,1832,46.8666666666667,17.1666666666667,2.73009708737864,41.5933631067961,0.7791,18,42
"119",-1,218219249020000,28.804165,-81.061537,5,21.6166992,7460,571,734,1956,1977,62.5333333333333,19.63,3.18560027169299,44.4229488877568,0.746,306,447
"120",-1,218218273020000,28.961841,-81.156922,5,21.3416996,7566,407,773,1693,1721,52.9,17.0233333333333,3.10749951047582,43.9377869590758,0.7566,96,78
"121",-1,218218534020000,29.111252,-81.215088,5,21.0874996,7809,530,798,1535,1710,61.9333333333333,15.9333333333333,3.88702928870293,48.7802259414226,0.7809,573,597
"122",-1,218219000020000,27.861067,-80.600896,5,22.4874992,7008,372,449,1550,1792,39.7666666666667,16.3066666666667,2.43867538838921,39.7830515126738,0.7008,822,690
"123",-1,218218579020000,28.421514,-81.645919,5,22.0375004,6981,258,243,868,1426,25.3,10.54,2.40037950664137,39.5451574952562,0.6981,1338,807
"124",-1,218218745020000,27.725235,-81.334889,6,22.3332996,7007,654,611,1254,1442,63.9666666666667,13.1666666666667,4.85822784810127,54.8133113924051,0.7007,504,486
"125",-1,218219304020000,26.463679,-81.651807,6,23.2791996,7363,308,377,611,1194,33.1,8.05333333333333,4.11009933774834,50.1659370860927,0.7363,591,198
"126",-1,218219193020000,26.911896,-80.233362,5,23.3167,7913,-9999,-9999,-9999,-9999,-999.9,-99.99,10,86.754,NA,NA,NA
"127",-1,289515518490000,29.454171,-81.186143,5,21.0375004,7548,306,554,1361,1554,38.8666666666667,14.2533333333333,2.72684752104771,41.5731768007484,0.7548,846,471
"128",-1,289516015490000,27.901477,-80.529479,5,22.5207996,6884,293,298,1159,1189,29.4666666666667,11.69,2.52067293983462,40.2924203022526,0.6884,6,6
"129",-1,289515686490000,27.668473,-81.190579,6,22.3957996,6937,599,841,1460,1820,67.9666666666667,15.8,4.30168776371308,51.3560843881857,0.6937,558,585
"130",-1,289515482490000,26.328545,-81.533797,5,23.4083004,7320,321,350,554,1049,33.0666666666667,7.19,4.59898006490496,53.2028641631896,0.732,204,1104
"131",-1,289516199490000,25.382516,-80.768006,6,24.2707996,7080,991,1120,1211,1539,103.4,13.2033333333333,7.83135571825297,73.2823817217874,0.708,144,168
"132",-1,374861941490000,30.267698,-81.444262,7,20.7791996,7538,476,824,713,1347,59.2,9.24333333333333,6.4046159394158,64.4194742156509,0.7538,342,66
"133",-1,374861578490000,30.271526,-81.596616,7,20.8582993,7737,-9999,-9999,-9999,-9999,-999.9,-99.99,10,86.754,NA,NA,NA
"134",-1,374861279490000,28.787191,-80.997773,7,21.5874996,7542,627,646,1940,1906,63.3333333333333,19.2866666666667,3.28378845489112,45.0328938817836,0.7542,369,6
"135",-1,374861271490000,29.239795,-81.103877,7,21.2542,7479,353,499,1403,1509,40.1666666666667,14.3833333333333,2.79258400926999,41.9815318655852,0.7479,300,306
"136",-1,374862153490000,27.531817,-80.762445,6,22.4750004,7100,438,699,1191,1559,52.5,13.1366666666667,3.99644760213144,49.4599325044405,0.71,126,120
"137",-1,374861445490000,28.401938,-81.177486,5,22.0207996,7205,621,478,1479,1856,57.3333333333333,16.0466666666667,3.57291233901122,46.8289314499377,0.7205,423,318
"138",-1,374861453490000,26.572221,-81.575998,6,23.3125,7236,353,376,539,1112,36.0666666666667,7.3,4.94063926940639,55.3252511415525,0.7236,42,48
"139",-1,374861096490000,30.654508,-85.221025,13,19.2166996,9206,136,515,184,551,26.2333333333333,3.06333333333333,8.56365614798694,77.8314319912949,0.9206,111,123
"140",-1,374861141490000,30.548102,-86.80319,11,19.5291996,10068,228,714,292,670,39,4.18,9.33014354066986,82.5928516746411,1.0068,210,204
"141",-1,374861711490000,30.884353,-86.306181,11,18.6499996,10017,168,555,235,461,29.7,3.10333333333333,9.5703544575725,84.0850418904404,1.0017,78,78
"142",-1,218218864020000,30.533783,-82.252103,6,19.7749996,8401,144,598,328,1545,29.5333333333333,7.33666666666667,4.02544298046343,49.6400517946388,0.8401,12,12
"143",-1,289515947490000,30.567731,-82.378916,6,19.7292004,8337,150,497,244,1566,26.5666666666667,6.84666666666667,3.88023369036027,48.738011684518,0.8337,48,129
"144",-1,374861676490000,30.604443,-82.912796,6,19.4666996,8335,136,589,228,1470,28.7,6.42,4.47040498442368,52.4041557632399,0.8335,42,42
